X,Z
0.0,203.0
5.0,203.0
10.0,203.0
15.0,203.0
20.0,203.0
25.0,203.0
30.0,203.0
35.0,203.0
40.0,203.0
45.0,203.0
50.0,203.0
55.0,203.0
60.0,203.0
65.0,203.0
70.0,203.0
75.0,203.0
80.0,203.0
85.0,203.0
90.0,203.0
95.0,203.0
100.0,203.0
105.0,203.0
110.0,203.0
115.0,203.0
120.0,203.0
125.0,203.0
130.0,203.0
135.0,203.0
140.0,203.0
145.0,203.0
150.0,203.0
155.0,203.0
160.0,203.0
165.0,203.0
170.0,203.0
175.0,203.0
180.0,203.0
185.0,203.0
190.0,203.0
195.0,203.0
200.0,203.0
205.0,203.0
210.0,203.0
215.0,203.0
220.0,203.0
225.0,203.0
230.0,203.0
235.0,203.0
240.0,203.0
245.0,203.0
250.0,203.0
255.0,203.0
260.0,203.0
265.0,203.0
270.0,203.0
275.0,203.0
280.0,203.0
285.0,203.0
290.0,203.0
295.0,203.0
300.0,203.0
305.0,203.0
310.0,203.0
315.0,203.0
320.0,203.0
325.0,203.0
330.0,203.0
335.0,203.0
340.0,203.0
345.0,203.0
350.0,203.0
355.0,203.0
360.0,203.0
365.0,203.0
370.0,203.0
375.0,203.0
380.0,203.0
385.0,203.0
390.0,203.0
395.0,203.0
400.0,203.0
405.0,203.0
410.0,203.0
