,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_108,harmonic_109,harmonic_110,harmonic_111,harmonic_112,harmonic_113,harmonic_114,all_8_harmonics
10,2.537,-0.8155504824182414,0.3897312301608531,-0.010908392715482237,-0.19258635227448703,0.17930158573333513,-0.09125381528865148,-0.07158913433822539,0.12126012823899238,-0.24289187528250425,-0.09125381528865151,0.1793015857333351,-0.1925863522744871,-0.0109083927154823,0.3897312301608529,-0.8155504824182414,0.0,-1.2757533349870853
11,2.97,-0.8084086404466092,0.3109783452366456,0.06939229931377358,-0.17074395826533245,0.17094991438456586,0.03727021153110181,-0.12545882603907318,0.1530003631202611,-0.16561846615341866,0.03727021153110175,0.1709499143845658,-0.17074395826533248,0.06939229931377355,0.3109783452366456,-0.8084086404466093,0.0,-0.9192005855639406
12,2.504,-0.7988116880036109,0.22845060446369525,0.14780015030997337,-0.14063632138711543,0.14969767880241228,0.16175543262454334,-0.16088458167164496,0.15547381971528298,-0.04842231211151988,0.16175543262454334,0.14969767880241222,-0.1406363213871155,0.14780015030997337,0.22845060446369528,-0.7988116880036108,0.0,-0.557321360448086
13,3.325,-0.7867887707183955,0.14314978281994584,0.22217639849195361,-0.10372086908582095,0.11714865767970169,0.2687119426989749,-0.17265839481115544,0.12820736120077963,0.08044616120379906,0.2687119426989749,0.1171486576797016,-0.103720869085821,0.22217639849195356,0.14314978281994586,-0.7867887707183954,0.0,-0.24265058863385758
14,4.467,-0.7723764017956057,0.05611131672859698,0.2904922536937186,-0.061784576326720374,0.07575913032630656,0.3465493442865837,-0.15904937522308793,0.07641667059684867,0.18992288643965405,0.3465493442865836,0.07575913032630648,-0.061784576326720374,0.29049225369371867,0.05611131672859698,-0.7723764017956056,0.0,-0.023207684360825542
15,4.549,-0.755618351125974,-0.03160826473743309,0.3508842374715076,-0.01685746307774394,0.02865251600882415,0.3868327471536254,-0.1220582102656682,0.010008565301076602,0.25361822555029406,0.38683274715362537,0.028652516008824076,-0.01685746307774394,0.35088423747150765,-0.03160826473743309,-0.7556183511259736,0.0,0.06613942397131511
16,4.0,-0.7365655123586031,-0.1189441646872408,0.40170501393801467,0.02888567334364423,-0.02061633175902659,0.3851968195380584,-0.0671230401089089,-0.05831403520017283,0.2561782579584472,0.3851968195380584,-0.02061633175902662,0.02888567334364423,0.40170501393801455,-0.11894416468724076,-0.7365655123586031,0.0,0.010064178679058844
17,3.358,-0.7152757483386272,-0.2048362436037809,0.44156832479111,0.07323053419471545,-0.06832938867976533,0.3418188395810616,-0.0023199866029823784,-0.11548199590597037,0.19698588145822413,0.3418188395810616,-0.06832938867976536,0.07323053419471551,0.44156832479110997,-0.2048362436037809,-0.7152757483386272,0.0,-0.18446346516130152
18,2.969,-0.6918137153796522,-0.2882418880015001,0.46938680282661727,0.11403050738651196,-0.11088603665543606,0.2613994844896845,0.06282413246154693,-0.1505599046582524,0.09030956624311513,0.2613994844896845,-0.11088603665543606,0.11403050738651199,0.4693868028266173,-0.2882418880015,-0.6918137153796522,0.0,-0.48967589662113936
19,3.005,-0.666250666904656,-0.36814866634169013,0.48440163248108764,0.14931057903914344,-0.14507478082952407,0.15265343922294078,0.1187323586100625,-0.1568378598772999,-0.03813609547089733,0.15265343922294078,-0.14507478082952407,0.14931057903914347,0.4844016324810877,-0.36814866634169013,-0.6662506669046558,0.0,-0.8624585234035312
