,raw_series,harmonic_1,harmonic_3,harmonic_4,harmonic_6,harmonic_8,harmonic_10,harmonic_13,harmonic_14,harmonic_16,harmonic_18,harmonic_20,harmonic_22,harmonic_24,harmonic_27,harmonic_29,harmonic_31,harmonic_32,harmonic_34,harmonic_36,harmonic_37,harmonic_40,harmonic_41,harmonic_43,harmonic_45,all_24_harmonics
67,0.02,0.02010377294181357,-0.10483357338064112,0.001861913435754253,-0.008432991895961101,0.014705873269921559,-0.002773328438230312,0.007495535993385726,0.006489212014978533,0.005254473978010044,-0.004085552677276382,-0.004700946816841141,0.003010734334261092,0.00018788932868541306,-0.0016628942276950614,-0.0008409682610510899,0.0028494623655913993,0.0036991898460466462,0.000660850701284297,9.375060861411085e-05,0.0013602733992398774,0.0022009651662283185,0.00012605075934516935,-0.002048786935033886,0.0003024256750292255,-0.020475292839860316
66,0.05,0.020643538205139245,-0.09695954051435206,-0.007090994656655794,-7.513694058776613e-05,0.01275143297622882,0.002112333590915892,0.010481206587914354,0.0011726452701616235,0.003069853020386141,-0.005768135322974489,-0.003622852532723615,-0.0010561097748448644,-0.0012235874008820298,0.0005649524667921843,-0.0004934865515455435,0.0004301075268817191,-0.0017821131189443694,4.211976268766536e-05,0.001967671415734846,-0.0012742077255831442,-0.0028959180054925365,-0.0010112234763187111,0.00213955705371993,-0.0002047642822238121,0.007968084509057869
65,0.12,0.02108911173843972,-0.08511597266714316,-0.015529176578579457,0.008294896538972354,0.007161741132796657,0.0060699409737353625,0.0058882215439865025,-0.005117102132947369,-0.002365954224778472,7.894528369879466e-05,0.0031227340108914993,-0.003188902304994381,-6.39419589730219e-05,0.0013796806948805178,0.0012148128331675439,-0.0032795698924731184,-0.0017127593715684038,-0.0007167937154257278,-0.003079723947572587,0.00068101016630701,0.003041309630929103,0.0017583693833421107,-0.0021112498068911606,0.00010500173079243668,0.040898667564829266
64,0.19,0.02143846049187934,-0.06978774689823927,-0.02284011557082521,0.015320456882728288,-0.00046966089335501144,0.007360717251927276,-0.0029623652398278683,-0.007160156227343166,-0.0052960526032751875,0.00582297154640632,0.00498320014860032,0.0005181351569780667,0.0012300646150338352,-0.0012565933865527302,-0.00042680435079971423,0.0028494623655913993,0.0036912385133789334,0.0009099179127357391,0.002705859706009568,0.00018322794846975895,-0.002609548930495565,-0.002265506902130449,0.0019654406385730084,-4.161719513086569e-06,0.07358571087914391
63,0.18,0.021689990467222846,-0.051602402571609376,-0.028493119986826094,0.01986281052097582,-0.007967169301934158,0.00541755932799985,-0.00967095187893787,-0.00326098232823878,-0.0026172656418162014,0.003965751926766887,-0.0009519168942426164,0.003276312810685341,-6.0661541765727834e-05,-0.0007497440661625119,-0.0008914838804282215,0.0004301075268817191,-0.0024016756738831457,-0.0004917494341923436,-0.0010264621140311874,-0.0009745417408303237,0.0016825715578130886,0.0024634143664906015,-0.0017102445796785507,-9.672099664017411e-05,0.08043218109474273
62,0.19,0.021842553990883695,-0.031304449820672924,-0.03207784551584996,0.021185712895238178,-0.013193351452053989,0.0010941944482568005,-0.009386754493442718,0.00334448733619698,0.0028333863271909113,-0.0030683185951151056,-0.005397880961336597,3.4585799565520186e-05,-0.0012239197016920172,0.0016324438840118968,0.001102154892336502,-0.0032795698924731184,-0.0010142133022966544,-0.00025678162241378076,-0.0011481867726944141,0.0013779900535526182,-0.00043629092243123435,-0.0023250784241709,0.001359864604758095,0.00019661122448348615,0.09535840336094405
61,0.24,0.02189545495049542,-0.009724889215961461,-0.03333408154808238,0.019074742198669333,-0.014658297402152602,-0.0037099052198059953,-0.0023152679469300645,0.0071743602619522414,0.005283286562126497,-0.006097038257736718,-0.0013995464295401756,-0.0032704781125587365,0.00018464257299777957,-6.860832043317457e-05,5.653787664929254e-05,0.0028494623655913993,0.0035321674422713776,0.0008328040132619576,0.0027688541943318027,-0.0012330013412968227,-0.0008927850712648199,0.0018693812206782379,-0.0009338011633416658,-0.00029448395510610164,0.12182925849842151
60,0.22,0.021848451971112674,0.01225280949587744,-0.03217063952769909,0.013872053800980295,-0.011944371969948275,-0.006884056478451176,0.006430321512578474,0.005050217237437277,0.002137821576034935,-0.001166748232300481,0.004788200584431808,-0.0005863224300950697,0.0012052157159828593,-0.0015980501855107111,-0.0011449856001605164,0.0004301075268817191,-0.0029229133445482355,-0.0008493396783265434,-0.0030535944483081035,0.0005972807941693303,0.002052436362147835,-0.00115852308341232,0.00045576687952490687,0.000389334881848867,0.12198961326100886
59,0.23,0.021701759516549776,0.03372887674731113,-0.028671972212702488,0.006420922208584575,-0.005825276562309539,-0.007033694645093617,0.01052633251185668,-0.0012651111870493636,-0.0032717440517020654,0.005286602678085987,0.0034854164481370217,0.0031715642685118004,-0.0003067289215695513,0.0008697189717827301,0.0008108548626886216,-0.0032795698924731184,-0.0002741452212638765,0.0002952797793234835,0.0018650249877949678,0.0002761562016264692,-0.002822594781911339,0.0002895324964932991,4.763317764590846e-05,-0.0004801907058495898,0.11997997711612321
58,0.24,0.021456046910831496,0.05382407982173514,-0.023092043357974802,-0.0020709405582110584,0.001954522053374393,-0.004093076128655874,0.0070110586295605015,-0.006530521303627177,-0.005216306851421372,0.004838877991905997,-0.0032698586638507947,0.0011213720842410695,-0.0011741445861102745,0.001162055660249127,0.000530716197598291,0.0028494623655913993,0.0032284890210651797,0.0004571522628164902,0.00022338873127919387,-0.0010396836336639499,0.003057106608246183,0.0006189777888937144,-0.000548382203242075,0.0005661191234064488,0.13283062493893388
57,0.17,0.02111243528422104,0.07171571874419648,-0.015835892813360588,-0.010227136215323,0.009177114327090752,0.0006458370962048321,-0.0015737078315515322,-0.0063762387109354435,-0.0016364405679487408,-0.001925467189157691,-0.004909855552495235,-0.0029823864070385093,0.0004256678163354708,-0.0014522633595167762,-0.0012129030424921472,0.0004301075268817191,-0.003324486599459786,-0.0009024644800820061,-0.002204021016547219,0.0013894192553069924,-0.002711468300757551,-0.001443000785731995,0.001018610935890811,-0.0006462383926755835,0.10795939783351105
56,0.26,0.020672492457759834,0.08667130771503125,-0.007430235202568703,-0.016725672872939402,0.013783442284327214,0.005101001522826158,-0.009020571930866458,-0.000930302841647654,0.0036765292548656715,-0.0061763277298556305,0.0011309924421872032,-0.0016245070298130393,0.0011310251439127115,-0.0004340286831102536,0.0003881279279794145,-0.0032795698924731184,0.0004771463973381403,0.0007414913180067157,0.003121248966502454,-0.0011861690546915262,0.0018512719816838905,0.0020700615878878393,-0.0014321487256550984,0.0007197263815355982,0.11699768713181521
55,0.34,0.020138225789659663,0.09807856316456641,0.0015147736130702325,-0.0205132392670615,0.014460307567191908,0.007315038797686416,-0.009944922829764925,0.005287693219142784,0.005095800773629679,-0.0023646749385822794,0.005402546529996933,0.002708328607520209,-0.0005402387832851992,0.0016698441365057821,0.0009188737144233783,0.0028494623655913993,0.0027926358800052188,-8.237628449204639e-05,-0.0025325249960132137,0.0005108261667602633,-0.0006397579542187287,-0.0024145696170239737,0.0017659800654418528,-0.0007858290037756517,0.12542328378274936
