,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_160,harmonic_161,harmonic_162,harmonic_163,harmonic_164,harmonic_165,harmonic_166,harmonic_167,harmonic_168,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,all_15_harmonics
19,5.8543,0.3165475455102855,0.4629223183434412,0.1615968895670178,0.09688885484583058,0.08829841479564768,-0.060948860366292545,0.07333284069398757,-0.05731049788134271,-0.054128899598452865,-0.024113960416086336,0.03424849661604978,0.08101336087130483,0.024624272095978526,-0.011171068134267034,0.0902054604409605,0.07182378304012743,0.024624272095978603,0.0810133608713048,0.03424849661604959,-0.02411396041608628,-0.05412889959845296,-0.05731049788134264,0.07333284069398754,-0.06094886036629265,0.0882984147956479,0.09688885484583062,0.16159688956701784,0.4629223183434411,0.31654754551028585,0.0,2.436799725501559
20,5.5801,0.322403105767695,0.4522703970444176,0.13693335542686655,0.06598557833413182,0.0381873252201089,-0.05095823971749392,0.025382167406869938,-0.0515783558029906,-0.03898642966523925,-0.06456528678342953,0.03339892653628521,0.0665772646862907,0.050611253981391484,-0.015249220596937034,0.05649852751019148,0.05788712780078262,0.050611253981391484,0.0665772646862906,0.033398926536285053,-0.06456528678342942,-0.03898642966523933,-0.051578355802990514,0.025382167406869882,-0.050958239717494,0.038187325220108995,0.06598557833413195,0.13693335542686666,0.4522703970444176,0.32240310576769493,0.0,2.070458559583845
21,5.3321,0.32783344081145527,0.4392332212616138,0.11064580792037174,0.03369211685836726,-0.013179600514107756,-0.03855735195666,-0.02420024925135379,-0.04152249365149324,-0.019715427014688446,-0.0965932119523816,0.02728916775590764,0.03969399670692728,0.06552388059856397,-0.015469088798641518,0.006434006085740256,0.024946962983140846,0.0655238805985639,0.03969399670692729,0.027289167755907513,-0.09659321195238145,-0.01971542701468855,-0.041522493651493124,-0.024200249251353726,-0.03855735195666009,-0.013179600514107721,0.03369211685836726,0.11064580792037194,0.4392332212616136,0.3278334408114554,-0.0,1.636198475415284
22,4.7492,0.3328313884420171,0.4238795484953989,0.08304601424542186,0.000688829456293838,-0.06411309922019034,-0.024332745051218293,-0.07222690450977201,-0.027985876123191124,0.0016433735225969276,-0.11601926670689033,0.01688148126450594,0.005389606839430884,0.06609908865327464,-0.011775042747229061,-0.045493304132585365,-0.016182930155986663,0.06609908865327462,0.005389606839430884,0.016881481264505897,-0.11601926670689028,0.0016433735225968825,-0.027985876123191086,-0.07222690450977197,-0.02433274505121833,-0.06411309922019019,0.0006888294562939351,0.0830460142454219,0.4238795484953987,0.3328313884420169,-0.0,1.1781116015795547
23,2.7907,0.3373903567459922,0.4062903533508929,0.054461304683939366,-0.03232897021311326,-0.11293816148089363,-0.00895722682176634,-0.11561030882905163,-0.012103253328249977,0.022828146291422793,-0.120309063591232,0.003815033363491549,-0.029922414725620256,0.05221101565744211,-0.0051017321612766816,-0.08424928438864726,-0.05200020061183698,0.05221101565744204,-0.02992241472562021,0.0038150333634915847,-0.12030906359123189,0.022828146291422796,-0.01210325332824996,-0.1156103088290516,-0.008957226821766317,-0.11293816148089349,-0.032328970213112984,0.05446130468393941,0.4062903533508929,0.3373903567459921,0.0,0.7483024050447474
24,2.769,0.3415043327903902,0.3865584004814063,0.025230690503530828,-0.06466566274625443,-0.15804911634955493,0.00684195810699139,-0.15156147333841433,0.004793963254162769,0.04159549459615802,-0.1089029414931183,-0.009852266046007616,-0.05964019269495551,0.026898540165698794,0.0028623940946561656,-0.09861321080457847,-0.07074655482182989,0.026898540165698745,-0.05964019269495542,-0.00985226604600755,-0.10890294149311833,0.041595494596158016,0.00479396325416279,-0.15156147333841422,0.00684195810699147,-0.15804911634955462,-0.06466566274625421,0.02523069050353094,0.3865584004814062,0.3415043327903904,0.0,0.39500608292831524
25,2.822,0.34516789055321806,0.36478775535167757,-0.004299156675967489,-0.09563997831293214,-0.19796243577203487,0.022317526154580825,-0.17776920556042744,0.021289310586785664,0.055958018919609935,-0.08328898088638845,-0.021967875508994934,-0.07820774201160982,-0.004299661652871104,0.010102291199735838,-0.08442640513123431,-0.06626783493909895,-0.004299661652871205,-0.07820774201160971,-0.021967875508994802,-0.08328898088638856,0.05595801891960997,0.021289310586785654,-0.17776920556042738,0.022317526154580866,-0.19796243577203487,-0.09563997831293194,-0.004299156675967461,0.3647877553516774,0.3451678905532181,0.0,0.1515789814986946
26,2.9897,0.34837619807999254,0.34109323540111786,-0.03377801636681478,-0.1245993496573898,-0.2313655221926085,0.03673750045304179,-0.1925486890395266,0.03600001360311622,0.06439477589553358,-0.04680886392284616,-0.030623638129199826,-0.08215370534011061,-0.03455704543332978,0.014786155300514935,-0.04579626519774467,-0.04003434013763137,-0.03455704543332978,-0.08215370534011057,-0.030623638129199646,-0.04680886392284628,0.06439477589553366,0.03600001360311623,-0.1925486890395264,0.03673750045304189,-0.2313655221926082,-0.12459934965738964,-0.03377801636681484,0.34109323540111824,0.34837619807999265,0.0,0.029289336667092103
27,3.1236,0.3511250238567202,0.31559980450161196,-0.06285627278684276,-0.15093366039316486,-0.25715987490465037,0.04941983252502001,-0.19494979513583582,0.0476929007347406,0.06601234113235456,-0.004221907508786225,-0.03445630815438154,-0.07074035211018778,-0.057252929190688195,0.01572889768864549,0.006092918708477085,-0.0006581485887188765,-0.05725292919068818,-0.0707403521101877,-0.03445630815438136,-0.004221907508786336,0.06601234113235467,0.047692900734740536,-0.1949497951358356,0.049419832525020066,-0.25715987490465014,-0.15093366039316453,-0.06285627278684261,0.315599804501612,0.35112502385672034,0.0,0.01572127294022463
28,3.2764,0.3534107423909439,0.2884419139034677,-0.09118906126119591,-0.17408809894251304,-0.2744972155687178,0.05976466240544475,-0.18481816394410475,0.055387778448597394,0.0606394198728975,0.03891585294473058,-0.03286225637694461,-0.04610150336528359,-0.06742117871400416,0.012691990231155241,0.056218066252144996,0.03893410365425161,-0.06742117871400408,-0.04610150336528353,-0.03286225637694445,0.038915852944730496,0.0606394198728976,0.055387778448597325,-0.18481816394410464,0.059764662405444875,-0.2744972155687176,-0.17408809894251293,-0.0911890612611959,0.28844191390346796,0.3534107423909439,-0.0,0.07900994372418885
