,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25,harmonic_26,harmonic_27,harmonic_28,harmonic_29,harmonic_30,harmonic_31,harmonic_145,harmonic_146,harmonic_147,harmonic_148,harmonic_149,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,harmonic_156,harmonic_157,harmonic_158,harmonic_159,harmonic_160,harmonic_161,harmonic_162,harmonic_163,harmonic_164,harmonic_165,harmonic_166,harmonic_167,harmonic_168,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,all_30_harmonics
10,8.4941,-0.05120988203554638,-0.14350794406434483,-0.02342455211228319,0.1369908346077911,-0.15235738501837115,-0.03682324646991227,0.0027908978652210897,0.022457831389273368,0.02583829880386033,0.10423438065482339,0.044463974541465216,0.11730054061381585,0.02303359367625058,0.04445160705137249,0.00711325859592434,-0.006612097117394177,-0.04132759048250043,-0.01606778205062808,-0.025506199519951176,-0.0001143398581031495,0.009612320236542377,0.010178269608928887,0.0027340421786609583,0.029766995001515528,0.03640966240340872,0.021010062852514628,0.041883862688273404,-0.013542648017421995,-0.019592407926928537,-0.009062866017722819,-0.0004903633878033335,-0.01354264801742191,0.041883862688273016,0.02101006285251466,0.036409662403408566,0.029766995001515324,0.002734042178661607,0.010178269608929048,0.0096123202365429,-0.00011433985810304151,-0.025506199519951304,-0.016067782050628178,-0.041327590482500405,-0.006612097117394107,0.007113258595924058,0.04445160705137186,0.023033593676250932,0.11730054061381573,0.04446397454146538,0.10423438065482284,0.025838298803860123,0.02245783138927328,0.0027908978652209718,-0.036823246469912016,-0.15235738501837154,0.136990834607791,-0.023424552112282948,-0.14350794406434492,-0.0512098820355463,-0.0,0.3104078947139155
11,8.5781,-0.06098461565603064,-0.1435307431758317,0.0028024008680599816,0.07985571447174317,-0.13065334497565148,-0.033950010809356175,-0.0321489553293643,0.05346798433962194,0.053258094277377134,0.0926924400959053,0.05553671690909126,0.12156605564558104,-0.0010974105513967061,0.03395155667185103,0.010717087561315683,-0.016235657014664156,-0.04171984625132508,-0.027421089308832757,-0.03039080486090709,-0.010265498372297736,0.03215993502795651,0.044530987978309455,0.016320474602202553,0.022546587223504097,0.04038355180476659,0.009486265143764345,0.00519100396404237,-0.00464556551434502,-0.03135708796581982,-0.017468308387284557,-0.03257847870912172,-0.004645565514344852,0.00519100396404221,0.009486265143764331,0.040383551804766396,0.022546587223504083,0.01632047460220287,0.044530987978309566,0.0321599350279566,-0.010265498372297796,-0.030390804860907228,-0.02742108930883298,-0.04171984625132494,-0.016235657014664076,0.010717087561315645,0.03395155667185043,-0.0010974105513964078,0.12156605564558089,0.0555367169090915,0.09269244009590481,0.05325809427737702,0.05346798433962191,-0.032148955329364376,-0.03395001080935599,-0.13065334497565181,0.07985571447174297,0.0028024008680601897,-0.1435307431758317,-0.060984615656030514,-0.0,0.20144275446795235
12,8.2621,-0.07067891519955426,-0.1427965673648877,0.0289961177062419,0.021038193175381137,-0.10465261240663111,-0.0294709780302049,-0.06502204866432988,0.07999601308184617,0.07503803540733942,0.06905753674097839,0.057862662865851636,0.10310378836138778,-0.02498828806086879,0.014861247143701801,0.011218079764330528,-0.02052928476104338,-0.026706896636639083,-0.027466692309291132,-0.021369021794465586,-0.015234298911672113,0.03688928095289046,0.05193452954611446,0.019165684410035383,-0.0007468264830857423,0.013289843995542241,-0.0098861809125559,-0.03610613442608966,0.008655717645580041,-0.011435347653482416,-0.00710813517566457,-0.027551529871710806,0.008655717645580136,-0.03610613442608944,-0.00988618091255597,0.013289843995542127,-0.0007468264830855099,0.019165684410035168,0.05193452954611449,0.03688928095289011,-0.015234298911672314,-0.021369021794465662,-0.027466692309291413,-0.02670689663663886,-0.02052928476104332,0.011218079764330754,0.014861247143701389,-0.024988288060868703,0.10310378836138766,0.05786266286585189,0.06905753674097811,0.0750380354073395,0.07999601308184608,-0.06502204866432999,-0.029470978030204775,-0.1046526124066316,0.021038193175380776,0.028996117706242164,-0.1427965673648877,-0.07067891519955413,-0.0,-0.055191043029054615
13,7.9304,-0.08027999462119169,-0.14130928864293862,0.054845944024979484,-0.038222561029775524,-0.07521025270078394,-0.023598001317756138,-0.09371506962080209,0.09981812105267755,0.08887169915606918,0.0364131583767778,0.05107548582856418,0.06536541274757905,-0.04341142553700875,-0.00798918347315279,0.008471186746954074,-0.018083444262691376,-0.0018323280369467105,-0.016185785626856082,-0.002569086477037301,-0.012512329106301177,0.021180055539345766,0.027908433408000758,0.009397113807167033,-0.02350784269770643,-0.02402791548306129,-0.021079100431594576,-0.04537811126676398,0.013750999356932277,0.020041841717314997,0.010888068339994046,0.00886352667907161,0.013750999356932199,-0.04537811126676363,-0.02107910043159463,-0.024027915483061192,-0.02350784269770615,0.00939711380716643,0.027908433408000668,0.021180055539345138,-0.012512329106301406,-0.002569086477037263,-0.016185785626856287,-0.001832328036946559,-0.018083444262691324,0.008471186746954493,-0.00798918347315294,-0.043411425537008774,0.06536541274757898,0.05107548582856444,0.03641315837677761,0.08887169915606935,0.09981812105267734,-0.09371506962080224,-0.02359800131775612,-0.07521025270078417,-0.03822256102977565,0.05484594402497965,-0.14130928864293874,-0.08027999462119148,-0.0,-0.3438347838382628
14,7.7827,-0.08977519082627858,-0.13907675085354232,0.08004530394779277,-0.09667804185591275,-0.04329451329891078,-0.01660886582899813,-0.11638342998879017,0.11127265687158537,0.09329414672620331,-0.0009818012546754934,0.0362441372775052,0.015406431109906492,-0.05233561739772563,-0.028818229412903153,0.003271695529831367,-0.009701069696915709,0.023718834373017212,0.0017696945922624427,0.017406425287457374,-0.0034737279815390838,-0.006264017095717866,-0.013007234246773528,-0.00655611096833851,-0.029510593401774164,-0.04286068375419126,-0.014831810947045873,-0.014400934681662154,0.005809728206612606,0.03126669700786036,0.0171875866151578,0.03518080167585399,0.005809728206612439,-0.014400934681661936,-0.014831810947045884,-0.042860683754191053,-0.029510593401774025,-0.006556110968339113,-0.013007234246773677,-0.006264017095718411,-0.0034737279815392394,0.01740642528745748,0.0017696945922624028,0.023718834373017313,-0.009701069696915714,0.0032716955298318614,-0.028818229412902963,-0.052335617397725825,0.01540643110990645,0.03624413727750539,-0.0009818012546754448,0.09329414672620355,0.11127265687158523,-0.1163834299887904,-0.016608865828998155,-0.04329451329891092,-0.0966780418559128,0.08004530394779297,-0.13907675085354224,-0.0897751908262786,0.0,-0.5890040538401701
15,7.5802,-0.09915198037207323,-0.13611072830429685,0.10429533605256631,-0.1530967085245252,-0.009954981710500521,-0.0088341497688198,-0.13156984890762616,0.11339940756400456,0.0878370556875839,-0.038248671842043024,0.01570449145038036,-0.037432910597624824,-0.04980814239284337,-0.042355825913261744,-0.0028750247835531324,0.0018660262034460584,0.04051173068649008,0.01899540135670677,0.029417011083732677,0.007318524184273807,-0.030237499983050274,-0.046051209147132635,-0.018194470574744742,-0.01447583905017147,-0.02872016464627028,0.0036868695134889724,0.0293494802180395,-0.007639421092160987,0.010896472249343335,0.0050230592576548955,0.02141831349482862,-0.007639421092161103,0.029349480218039316,0.0036868695134890184,-0.028720164646270127,-0.014475839050171559,-0.018194470574744954,-0.04605120914713276,-0.03023749998305042,0.007318524184273815,0.029417011083732826,0.018995401356706892,0.04051173068649005,0.0018660262034460046,-0.0028750247835527044,-0.04235582591326126,-0.049808142392843674,-0.037432910597624866,0.015704491450380467,-0.03824867184204274,0.0878370556875842,0.11339940756400438,-0.13156984890762632,-0.008834149768819915,-0.009954981710500702,-0.15309670852452523,0.10429533605256636,-0.13611072830429677,-0.09915198037207315,0.0,-0.7674146422181433
16,7.3587,-0.10839799598522543,-0.13242686366965262,0.12730843783259385,-0.20628993188246406,0.023711931434983027,-0.0006415884147572097,-0.13829803707922025,0.10602009147445716,0.07307831375878077,-0.0705254939949966,-0.007308544902826749,-0.08327385921756669,-0.03638204266089415,-0.04517675558842155,-0.008189361061618897,0.012820532601136704,0.042345522694849945,0.028387926208511157,0.02796680228152985,0.014416146942455065,-0.037457842539725304,-0.05122600275205521,-0.017858248339522362,0.010878448123321043,0.007515154625974371,0.019155145850144505,0.0470677025190187,-0.013846062823633978,-0.020484666546042966,-0.012537571545059772,-0.016745009563417835,-0.013846062823633922,0.04706770251901833,0.019155145850144575,0.007515154625974338,0.010878448123320783,-0.017858248339522032,-0.05122600275205524,-0.03745784253972497,0.01441614694245522,0.02796680228152995,0.0283879262085114,0.04234552269484981,0.01282053260113663,-0.00818936106161866,-0.04517675558842095,-0.03638204266089448,-0.08327385921756668,-0.007308544902826674,-0.07052549399499614,0.0730783137587811,0.10602009147445697,-0.13829803707922045,-0.0006415884147574062,0.02371193143498293,-0.2062899318824642,0.12730843783259405,-0.13242686366965262,-0.10839799598522526,0.0,-0.8830201967841688
17,7.3083,-0.11750104287327115,-0.12804458549212522,0.14881167662822334,-0.25513703645534136,0.05659904917147936,0.007581319345777139,-0.13613545947720662,0.08975330329456774,0.05058082242738837,-0.09360132657243347,-0.029170516557172736,-0.11354606922165288,-0.01499511141192374,-0.03656728041500152,-0.01113269398480993,0.019566242961769967,0.028543076011041734,0.026074049814134206,0.013719393246564448,0.014236029121082797,-0.02392460120542212,-0.02539994351994762,-0.005768726913139603,0.028477709693754814,0.037968966664190695,0.018775034908375357,0.023038149798028117,-0.0069260273412551105,-0.031165995600161474,-0.016629511349199298,-0.035831563880133824,-0.006926027341254941,0.023038149798027863,0.018775034908375395,0.037968966664190494,0.02847770969375457,-0.005768726913138951,-0.025399943519947493,-0.023924601205421496,0.014236029121083023,0.013719393246564456,0.026074049814134477,0.028543076011041557,0.019566242961769873,-0.011132693984809953,-0.03656728041500091,-0.014995111411924103,-0.11354606922165272,-0.0291705165571728,-0.09360132657243295,0.05058082242738871,0.08975330329456763,-0.13613545947720682,0.007581319345776863,0.056599049171479204,-0.25513703645534125,0.14881167662822345,-0.12804458549212525,-0.11750104287327115,0.0,-0.951878267538143
18,7.268,-0.12644911480863874,-0.12298700571700327,0.16855002657585133,-0.2986089108520049,0.08762483904364754,0.015445639274662129,-0.12522114172575763,0.06596265839136427,0.02272699090135934,-0.10446562001327675,-0.04643825607599239,-0.12258989988581676,0.009672931803241913,-0.018705728284949912,-0.010852862782232131,0.019888637817531106,0.0042009944115538635,0.013007951260406244,-0.006805809748572367,0.006869100063686467,0.0028641077295136416,0.01579760419120559,0.010117447582076129,0.025775788109387528,0.03921275357812187,0.0028610289640980183,-0.021425616687738548,0.006560187021071022,-0.010354003644124069,-0.002856926989732436,-0.014096973532829207,0.006560187021071133,-0.021425616687738458,0.0028610289640979914,0.03921275357812169,0.02577578810938744,0.010117447582076663,0.01579760419120578,0.002864107729514216,0.006869100063686647,-0.006805809748572433,0.013007951260406422,0.004200994411553697,0.019888637817531054,-0.010852862782232416,-0.018705728284949433,0.009672931803241684,-0.12258989988581667,-0.04643825607599256,-0.10446562001327617,0.02272699090135967,0.06596265839136423,-0.12522114172575774,0.015445639274661811,0.0876248390436477,-0.2986089108520048,0.16855002657585152,-0.12298700571700322,-0.12644911480863863,0.0,-1.0021304638930941
19,7.3413,-0.13523040996394944,-0.1172807978009498,0.18628939318444207,-0.33578968909580237,0.11576898060357947,0.02257939793270127,-0.10625673255941954,0.036642483402825526,-0.00753355307073255,-0.10170098260522385,-0.056392168019493864,-0.10871453206201633,0.03222442040164289,0.0038886570133894044,-0.007430884851350151,0.01368187958479474,-0.021692319695721884,-0.005422269199466133,-0.0242167736104033,-0.003965574465371324,0.028065952712682238,0.04743478848537198,0.019344884544795247,0.004698828609566806,0.010289653746367772,-0.015420105656334695,-0.046885442523858234,0.01382705523532741,0.020920736387993855,0.01398475784839591,0.023697607883621637,0.013827055235327368,-0.04688544252385785,-0.015420105656334763,0.010289653746367705,0.00469882860956697,0.019344884544795302,0.047434788485372054,0.028065952712682453,-0.003965574465371279,-0.024216773610403457,-0.00542226919946612,-0.021692319695721975,0.013681879584794714,-0.007430884851350608,0.0038886570133896004,0.03222442040164283,-0.10871453206201624,-0.05639216801949413,-0.10170098260522324,-0.0075335530707323455,0.036642483402825554,-0.10625673255941961,0.022579397932700973,0.11576898060357957,-0.33578968909580204,0.18628939318444224,-0.11728079780094974,-0.13523040996394947,0.0,-1.0597886173252007
