,raw_series,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_17,harmonic_94,harmonic_95,harmonic_96,harmonic_97,harmonic_98,harmonic_99,all_13_harmonics
22,0.0447,-0.07358500040648168,0.029191084851800535,0.003259753511923316,-0.01633244507933586,0.012738391199299301,-0.003313223652689964,0.0020179852762438094,-0.01633244507933586,0.00325975351192331,0.029191084851800535,-0.07358500040648167,0.057851945587786294,0.0,0.03319586586467425
23,0.0254,-0.06425447168843917,0.01886216673667375,0.012234179645439455,-0.026507400860859325,0.018411759287500804,-0.005004990083120659,0.008042086245110039,-0.02650740086085931,0.01223417964543945,0.01886216673667374,-0.06425447168843917,0.05459958331823837,0.0,0.018933681299648262
24,-0.0038,-0.05389006446801296,0.00785152077078747,0.020424363088982392,-0.034035386849231984,0.021447382626553897,-0.005725053087132047,0.005578104152541642,-0.03403538684923197,0.020424363088982385,0.007851520770787466,-0.05389006446801296,0.051127367797250654,0.0,0.01072158010171709
25,-0.013,-0.042658545937175385,-0.003442899612692891,0.027305291812216907,-0.03816467519233127,0.021410365267736528,-0.0053336146478218886,-0.002773331758480427,-0.038164675192331264,0.027305291812216897,-0.0034428996126928887,-0.042658545937175385,0.04744928041122927,0.0,0.015603022707230891
26,-0.0022,-0.03074063543347643,-0.014612884633783092,0.03243588041278543,-0.03848292438716462,0.01830601047090145,-0.003906671333893219,-0.008197632893099169,-0.03848292438716462,0.032435880412785424,-0.01461288463378308,-0.03074063543347644,0.04358013151991972,0.0,0.0274591267172437
27,0.0086,-0.01832809659825229,-0.02525472193070882,0.03548724483618943,-0.03495835478057629,0.012579060937546196,-0.0017212597996496754,-0.004969678035551258,-0.03495835478057629,0.03548724483618943,-0.02525472193070882,-0.01832809659825228,0.039535500820315296,0.0,0.0331571242574158
28,0.0194,-0.005620651827851725,-0.03498378777652254,0.03626378469786279,-0.027942922014368647,0.005049983132844514,0.0007983290291140101,0.003503562518851198,-0.027942922014368647,0.03626378469786278,-0.03498378777652254,-0.00562065182785172,0.03533167461271615,0.0,0.025562765031853733
29,0.0202,0.007177231334484846,-0.04344844838272275,0.034715721775837254,-0.018137171521702293,-0.0032025761319364144,0.00316292473299294,0.008278940508173543,-0.018137171521702293,0.03471572177583725,-0.043448448382722736,0.007177231334484846,0.030985580221545985,0.0,0.01102144059913816
30,0.0109,0.019859630157936185,-0.05034276886054327,0.030942290924054962,-0.0065202836261972295,-0.010996321100709345,0.004913448330930893,0.00431624574469724,-0.006520283626197232,0.03094229092405496,-0.05034276886054328,0.0198596301579362,0.026514717834991115,0.0,0.0041077681688154975
31,0.0217,0.032222480097923965,-0.05541757050493886,0.02518537886049727,0.0057477052162439235,-0.01721468765015671,0.005710041052002276,-0.004202064474511174,0.005747705216243918,0.025185378860497265,-0.05541757050493887,0.03222248009792397,0.021937090037919178,0.0,0.014467021551413885
