Station_m,Zd_m,Wbase_half_m,Wbf_half_m
63,-0.3832,1.0574,2.9841
64,-0.5100,1.1811,2.7108
65,-0.6008,1.266,2.7108
66,-0.6005,1.1046,2.5795
67,-0.5123,0.8991,2.5357
68,-0.3011,0.7928,2.721
69,-0.1829,0.6803,2.6035
70,-0.1557,0.7027,2.4579
71,-0.1784,1.1169,2.4272
72,-0.1882,0.7952,2.6009
73,-0.2040,1.1042,2.7485
74,-0.2698,1.2928,2.6905
75,-0.2505,1.4281,2.7711
76,-0.3023,1.2837,3.1901
77,-0.2701,1.1385,3.227
78,-0.1749,0.8515,2.9837
79,-0.0947,1.2912,2.7042
80,-0.0454,1.1957,2.5651
81,0.0088,1.4928,2.7282
82,0.0290,1.5284,2.8098
83,0.0472,1.5282,2.9925
84,0.0384,1.2044,3.1673
85,0.0246,1.2927,3.3416
86,-0.0031,1.2114,3.516
87,-0.0489,1.2806,3.5545
88,-0.0137,1.191,3.6965
89,0.0705,1.195,3.8053
90,0.0727,1.139,3.8969
91,0.0670,1.278,4.0821
92,0.0842,1.2069,4.4225
93,0.0824,1.3195,4.8135
94,0.0666,1.6788,5.2768
95,0.0598,1.5904,5.7562
96,0.0931,0.7869,5.2632
97,0.1443,1.5858,7.063
98,0.1825,2.0238,6.8619
99,0.1887,1.3134,3.3993
100,0.1929,1.3049,3.782
101,0.1802,2.2447,3.8529
102,0.0754,2.1128,3.6855
103,0.0826,1.9934,3.5498
104,0.1588,2.061,2.7742
105,0.1920,1.9248,2.1584
106,0.2013,1.7384,4.5742
107,0.1665,1.4921,4.8684
108,0.1377,1.3336,4.9908
109,0.1609,1.4577,5.5022
110,0.1681,1.4389,4.6201
111,0.1684,1.4348,4.2867
112,0.1506,1.579,4.1084
113,0.1228,1.6498,5.0914
114,0.1050,2.0059,4.8014
115,0.0752,2.4864,5.0965
116,-0.1535,2.6844,3.3872
117,-0.4683,2.5995,3.5239
118,-0.4181,2.8199,2.8028
119,-0.2819,2.8354,2.6057
120,-0.2606,2.2868,2.4727
121,-0.2414,1.9654,2.5526
122,-0.2432,2.042,2.6904
123,-0.0720,2.3111,4.4589
124,0.1262,3.7932,5.4488
125,0.2505,3.5242,7.598
126,0.0427,2.3502,8.2472
127,-0.1341,3.4946,8.426
128,-0.2269,3.343,8.3886
129,-0.0817,3.2303,7.8052
130,0.1305,3.0799,7.3287
131,0.0498,2.901,6.801
132,-0.0260,3.3781,6.4019
133,-0.0908,4.7672,6.2433
134,-0.1326,4.9323,5.9785
135,-0.1184,4.5552,6.0902
136,-0.0441,3.8786,6.1996
137,-0.0069,3.4014,6.4674
138,-0.1727,3.0072,6.0369
139,-0.2795,2.8418,6.0459
140,-0.2483,2.9836,8.0367
141,-0.3160,3.0694,8.2033
142,-0.2038,3.2715,8.0522
143,-0.2126,3.4714,8.3549
144,-0.1454,3.519,7.4086
145,-0.0932,3.3886,7.0334
146,-0.1249,3.1885,6.4758
147,-0.0417,2.7453,5.8824
148,0.1185,2.4135,5.3291
149,0.3217,2.2854,3.92
150,0.5869,1.1767,4.0003
151,0.7132,0.5728,3.6385
152,0.7544,0.4301,3.283
153,0.6626,0.3973,2.8711
154,0.5388,0.6414,2.8528
155,0.3280,0.9967,4.0741
156,0.2103,1.002,3.0495
157,0.0845,0.8663,3.8383
158,-0.0813,1.0503,6.319
159,-0.1401,1.072,6.6404
160,-0.0209,0.9847,6.7531
161,0.0124,0.822,5.5426
162,0.1746,0.8571,5.7166
