,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_10_harmonics
10,-0.107,-0.03616334054924405,0.04928425430833381,0.03786440523840634,0.029015876543773664,0.03215761496977123,0.00038938757641779895,0.008565383102979171,0.005990392491716009,0.011607004634895442,-0.004754572996400277,-0.02388738288671619,0.005990392491716,0.008565383102979171,0.00038938757641780015,0.03215761496977123,0.029015876543773664,0.03786440523840635,0.049284254308333796,-0.036163340549244055,0.0,0.23717299611608686
11,-0.093,-0.03293842197068285,0.040929108355030594,0.03218349508202169,0.030039727735488752,0.03226873372192681,-0.0018763772069833157,0.002132974989131198,0.0024735173360861014,0.005532307700142519,-0.006048242951087895,-0.020773970986948283,0.002473517336086091,0.002132974989131198,-0.0018763772069833142,0.03226873372192681,0.030039727735488752,0.03218349508202169,0.04092910835503057,-0.03293842197068285,0.0,0.18913560984614425
12,-0.162,-0.029677485711293725,0.032394989824792865,0.02618608616211613,0.0305387289693363,0.031499645536458974,-0.004068512820718946,-0.004413220526606835,-0.0012154705466844145,-0.001028836403306847,-0.006686491933866245,-0.014941847259327921,-0.0012154705466844262,-0.0044132205266068335,-0.004068512820718944,0.031499645536458974,0.030538728969336296,0.02618608616211614,0.03239498982479285,-0.02967748571129374,0.0,0.13983234617829962
13,-0.213,-0.026384097556999796,0.023719216246553137,0.019931158166962882,0.030504161764947017,0.029871329134204046,-0.006100999713692012,-0.01072398482526576,-0.004819883339765057,-0.007499516529955437,-0.0066001557639979325,-0.00715426798113316,-0.0048198833397650655,-0.01072398482526576,-0.006100999713692009,0.029871329134204046,0.03050416176494701,0.019931158166962892,0.02371921624655312,-0.026384097556999792,0.0,0.09073985947880238
14,-0.247,-0.02306185877939466,0.014939724570726466,0.013480223277614133,0.02993663007572312,0.02742820074191145,-0.007894082961504246,-0.016462658791223512,-0.008088918145392745,-0.01331077589038471,-0.005798590305131894,0.001569598008550367,-0.00808891814539275,-0.016462658791223512,-0.007894082961504246,0.027428200741911442,0.02993663007572311,0.01348022327761413,0.014939724570726457,-0.023061858779394658,0.0,0.04301475178995374
15,-0.202,-0.019714402197805077,0.006094905280578899,0.006896721245123313,0.028846049736648203,0.02423690253336254,-0.009377401855132883,-0.021323102500567338,-0.010795108397109347,-0.017951639532429835,-0.004368657612305846,0.01008804902612767,-0.010795108397109354,-0.021323102500567334,-0.009377401855132882,0.02423690253336254,0.028846049736648203,0.006896721245123313,0.0060949052805789085,-0.019714402197805066,0.0,-0.00250312042841137
16,-0.223,-0.016345388206856114,-0.002776565479587835,0.00024539551166816897,0.027251475216193324,0.02038448480459299,-0.010492750859954852,-0.02504602680807179,-0.012750151479206794,-0.021014043570034537,-0.0024653130804792997,0.017286266265361866,-0.012750151479206795,-0.02504602680807179,-0.010492750859954852,0.02038448480459299,0.027251475216193324,0.00024539551166817363,-0.0027765654795878446,-0.016345388206856108,0.0,-0.04525214498759777
17,-0.308,-0.012958500773883557,-0.011635895025374886,-0.0064083434890787536,0.02518076669928581,0.01597603146874012,-0.011196363604897947,-0.027432825594798357,-0.013818011233123283,-0.022228715602920196,-0.00029481362310900525,0.0222222113282956,-0.013818011233123281,-0.027432825594798357,-0.011196363604897947,0.015976031468740118,0.025180766699285803,-0.006408343489078749,-0.011635895025374906,-0.012958500773883563,0.0,-0.08488760100399534
18,-0.388,-0.009557443410569525,-0.020444343762824575,-0.012999061590903988,0.022670103318021148,0.011131793640825843,-0.011460630277828763,-0.028356170770094388,-0.01392438364983938,-0.02148885141785101,0.0019076334648298401,0.024249911799127437,-0.013924383649839375,-0.02835617077009438,-0.011460630277828765,0.01113179364082584,0.022670103318021145,-0.012999061590903988,-0.020444343762824564,-0.00955744341056952,0.0,-0.12121157916032096
19,-0.435,-0.006145935123207015,-0.02916339458680813,-0.01946194438739747,0.019763351034883404,0.005983909500810107,-0.011275181036465189,-0.02776680481848031,-0.013061867104767115,-0.018859506116161575,0.003903358866871374,0.023104000345975765,-0.01306186710476711,-0.027766804818480307,-0.011275181036465189,0.0059839095008101025,0.019763351034883404,-0.019461944387397477,-0.029163394586808156,-0.006145935123207001,0.0,-0.15410787994617792
20,-0.478,-0.0027277063460209774,-0.03775492130652624,-0.025733434629458166,0.016511296222730874,0.0006727999085001383,-0.010647292921695318,-0.025696168530747552,-0.01129047737892025,-0.014571873920382044,0.005476094768834154,0.018934443627757758,-0.011290477378920243,-0.02569616853074755,-0.010647292921695322,0.0006727999085001347,0.016511296222730874,-0.02573343462945816,-0.03775492130652624,-0.002727706346020968,0.0,-0.1834931454880651
