,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,all_10_harmonics
16,16.052,-0.5721779557445804,-0.4873745033372391,0.279947330981744,0.32212745064329384,-0.2586704830960711,0.12274050530523664,-0.31798897408002874,0.2530545861959193,-0.3404077478641961,0.04693314757781839,16.668940531584724
17,16.042,-0.5844740690142841,-0.5629047529119701,0.2996980545421642,0.2893992669525396,-0.14721072076727654,0.10078311252858584,-0.2615293201458218,0.1509609759528514,-0.34718442998730975,0.10073264151594728,16.605228439730126
18,16.074,-0.5958098929233002,-0.6347371178906458,0.315022002825506,0.24907898154565597,-0.02972413423374435,0.07289312580593141,-0.1841527908948821,0.03313001674262034,-0.3082608007446877,0.1382049480346218,16.585129712813103
19,16.097,-0.6061668027427118,-0.7023997106322776,0.325692829099184,0.2022243569776622,0.08897936184775491,0.04071228810624555,-0.09204789021610842,-0.0881546736817585,-0.2287604250840361,0.1532763916860202,16.6077696562546
20,16.141,-0.6155277820968807,-0.7654480359391718,0.33155291689149125,0.15006457768754175,0.2040400324005759,0.0061349231721129814,0.0074189163543072634,-0.20024943370154383,-0.11914803473747057,0.14350412691903908,16.666528402611604
21,16.171,-0.623877450921308,-0.8234679110748112,0.33251570811048364,0.09396800356794897,0.31074728005323143,-0.02880357377269999,0.10629236479462191,-0.29146863168453985,0.0061479572219809596,0.11047208517796378,16.749744068875557
22,16.160999999999998,-0.6312020907320394,-0.8760781866503888,0.32856698157487363,0.03540627240541707,0.40473249754925256,-0.06204654948285451,0.1966646473224869,-0.3523028673231366,0.1306346860491024,0.05953424436149152,16.842065713293362
23,16.151,-0.6374896671650988,-0.9229332505056969,0.31976506307202895,-0.024084307072183276,0.48214791904155807,-0.09163715750365047,0.27130787161336345,-0.3764103056540105,0.23792581129507445,-0.0010531673481631585,16.926282299702027
24,15.682,-0.6427298497489166,-0.9637252981356539,0.30623996384035695,-0.08294305872596096,0.5398241480783272,-0.11583354786044106,0.3242521410038079,-0.3612777993732132,0.31389847085257194,-0.061469877084567325,16.985395492511525
25,15.662,-0.6469140288772671,-0.9981863547473814,0.288191460201363,-0.13962588179109547,0.5753999130661254,-0.1332114009887246,0.3512630213548184,-0.30848287890266696,0.34855229057697207,-0.11192328010423397,17.00467646247279
26,15.640999999999998,-0.6500353299548292,-1.0260900356643434,0.26588614270672556,-0.19264575882348797,0.5874187380063771,-0.14274777024916066,0.3501802072131393,-0.22352929832116167,0.33732574577238045,-0.14423566802332252,16.973452963266286
27,15.620999999999999,-0.6520886246921284,-1.0472530335129524,0.23965347838679785,-0.24061176612231025,0.5753885707938767,-0.1438812976411687,0.3210903010613529,-0.11527328113402713,0.28169660026924875,-0.15316970758435514,16.88641126998934
28,15.540999999999999,-0.6530705395313028,-1.0615363224218768,0.20988094426421441,-0.2822655632288457,0.5398019278877887,-0.1365452581195033,0.26631988693069936,0.004999721504782531,0.1889873865630459,-0.13727733055313676,16.74426250642965
29,15.530999999999999,-0.6529794611888499,-1.0688460713233123,0.17700830401442244,-0.3165144042359404,0.48211573062994106,-0.12117148736141169,0.1902494523427229,0.12475151419802341,0.07140153190136139,-0.09913444295599999,16.55370543155761
