,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_6_harmonics
20,2.8,-1.0384774652006927,-1.992524087859918,-0.0006440667601492899,0.5977432559416164,0.34080794504184064,0.4086915706482595,-0.35153938675167284,0.5977432559416164,-0.0006440667601491753,-1.9925240878599175,-1.0384774652006927,0.0,-4.46984459881986
21,2.948,-1.034150091422979,-1.9626867159330448,-0.032452900186808915,0.6551780542754162,0.31000050033519566,0.3584587178932868,-0.2964191011426894,0.6551780542754164,-0.032452900186808756,-1.9626867159330441,-1.034150091422979,0.0,-4.376183189449039
22,3.564,-1.0281236117605135,-1.9199558856791887,-0.06378237882941455,0.6954249084840832,0.2665015987213155,0.2871252068403999,-0.21759148751158372,0.6954249084840834,-0.06378237882941448,-1.919955885679188,-1.0281236117605133,0.0,-4.296838617519934
23,6.009,-1.020407927703556,-1.8646123083166417,-0.09416974172106338,0.7174279824069935,0.21209209034317647,0.198890081805674,-0.12136110614596751,0.7174279824069937,-0.0941697417210633,-1.8646123083166415,-1.020407927703556,0.0,-4.233902924665652
24,7.035,-1.0110157161007534,-1.797019551857863,-0.12316614368326444,0.720610047300449,0.14899950686662528,0.09894729994594348,-0.015424374746096748,0.720610047300449,-0.1231661436832644,-1.7970195518578624,-1.0110157161007531,0.0,-4.188660296616391
25,4.643,-0.9999624083311067,-1.717621652725747,-0.15034328512119202,0.7048876248592247,0.07980686607225572,-0.006820010824483332,0.09174598400853007,0.7048876248592248,-0.15034328512119194,-1.7176216527257466,-0.9999624083311067,0.0,-4.161346603381339
26,4.512,-0.9872661649502581,-1.6269401987495686,-0.17529973834455662,0.670673177186818,0.007346922803979473,-0.11218586192658002,0.19157858305328054,0.6706731771868182,-0.17529973834455653,-1.626940198749568,-0.987266164950258,0.0,-4.15092620578445
27,4.285,-0.9729478458527446,-1.5255709027032418,-0.1976668769693749,0.6188642862627042,-0.06541380434711849,-0.21094789668887026,0.27608890261958685,0.6188642862627044,-0.19766687696937485,-1.5255709027032411,-0.9729478458527446,0.0,-4.154915476941715
28,3.247,-0.9570309759992468,-1.4141796888953162,-0.2171143208187231,0.5508201067725114,-0.13549648266244976,-0.29729249182839,0.3385178848077075,0.5508201067725116,-0.2171143208187231,-1.4141796888953158,-0.9570309759992468,0.0,-4.169280847564681
29,2.952,-0.9395417067651394,-1.2934983185190418,-0.23335481589702164,0.4683257100376702,-0.20003191905741963,-0.36613697615605945,0.3738725168424347,0.4683257100376702,-0.23335481589702164,-1.2934983185190412,-0.9395417067651392,0.0,-4.18843464065811
30,3.421,-0.9205087729738514,-1.1643195825008346,-0.24614847735680323,0.37354525444606046,-0.2563780251834262,-0.41342882181586266,0.37932516765843716,0.3735452544460605,-0.24614847735680323,-1.164319582500834,-0.9205087729738511,0.0,-4.205344836111708
31,3.47,-0.8999634456856247,-1.0274920934267284,-0.2553063327860179,0.2689652109107916,-0.30222798483528446,-0.4363841961773367,0.35443973924115785,0.26896521091079184,-0.2553063327860179,-1.0274920934267275,-0.8999634456856245,0.0,-4.211765763746621
32,3.011,-0.8779394808192471,-0.8839147107601522,-0.26069311347874435,0.15732913278069488,-0.33570469527770563,-0.43365183203362206,0.30120654534630686,0.15732913278069494,-0.26069311347874435,-0.883914710760152,-0.8779394808192471,0.0,-4.198586326519918
33,3.01,-0.8544730636911635,-0.7345306359733946,-0.26222925246004813,0.0415656814490021,-0.3554376160518308,-0.4053925698923253,0.22388312802993043,0.0415656814490022,-0.26222925246004813,-0.7345306359733942,-0.8544730636911635,0.0,-4.156281599265434
34,3.009,-0.8296027495630974,-0.5803212163835504,-0.25989205975259533,-0.07528820416327511,-0.3606188790626474,-0.35326989010537974,0.12865374333708138,-0.07528820416327511,-0.2598920597525954,-0.5803212163835497,-0.8296027495630974,0.0,-4.075443485555982
35,3.009,-0.8033694002958577,-0.4222994983973475,-0.2537160575254103,-0.19016697867713334,-0.35103636279371997,-0.2803519921637054,0.023134750171606072,-0.1901669786771334,-0.2537160575254103,-0.4222994983973473,-0.8033694002958577,0.0,-3.947357474577317
36,3.008,-0.7758161172134068,-0.26150357251546263,-0.2437924701743677,-0.30005691178731725,-0.32708237658699635,-0.19093118525512717,-0.08423453910810011,-0.3000569117873172,-0.24379247017436775,-0.26150357251546247,-0.7758161172134067,0.0,-3.7645862443313325
37,3.499,-0.7469881702875004,-0.09898975381491552,-0.23026787686633152,-0.4020751504771744,-0.2897375994522537,-0.09027122165324307,-0.18486682715634137,-0.40207515047717446,-0.23026787686633154,-0.09898975381491543,-0.7469881702875003,0.0,-3.521517551153682
38,4.583,-0.7169329237592418,0.06417435729106245,-0.21334204644991836,-0.49354534779811066,-0.2405309309532133,0.01570255385265895,-0.2707136358110176,-0.49354534779811066,-0.21334204644991847,0.06417435729106265,-0.7169329237592419,0.0,-3.214833934343989
39,5.517,-0.6856997583197582,0.22691688842980645,-0.19326498671295286,-0.5720678741678961,-0.18147689787976393,0.12075199914503786,-0.3349090160000778,-0.5720678741678961,-0.19326498671295295,0.22691688842980673,-0.685699758319758,0.0,-2.843865376276405
