,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_70,harmonic_71,harmonic_72,harmonic_73,harmonic_74,all_11_harmonics
21,2.998,-0.11557111378454572,0.09549676482533224,-0.0683500546480303,-0.021372926257629158,0.05100641168676021,-0.02665731858136459,-0.021372926257629158,-0.06835005464803032,0.09549676482533224,-0.11557111378454572,0.0,3.1950668122924233
22,2.9989999999999997,-0.1274521868074771,0.09638402351991152,-0.08735726686022952,0.012686649576951987,0.012722314438550895,-0.030677157973502123,0.012686649576951987,-0.08735726686022954,0.09638402351991152,-0.1274521868074771,0.0,3.126615716384064
23,3.0010000000000003,-0.1384149639039005,0.09449848934377282,-0.10072695594138167,0.04529683774678202,-0.027820540926592384,-0.026905865143720658,0.04529683774678202,-0.1007269559413817,0.09449848934377282,-0.1384149639039005,0.0,3.0583143812860096
24,3.003,-0.14838045801362476,0.08989440568218025,-0.10759632095735847,0.07273208374735009,-0.06342405345919114,-0.016301242021057514,0.07273208374735009,-0.1075963209573585,0.08989440568218025,-0.14838045801362476,0.0,2.9990999626473607
25,3.133,-0.15727686752323053,0.08270422363944378,-0.10752205357715248,0.09185804490674415,-0.08776706804923795,-0.0015565635491581757,0.09185804490674415,-0.1075220535771525,0.08270422363944378,-0.15727686752323053,0.0,2.9566412074417827
26,2.991,-0.16504009359834038,0.07313479166180147,-0.10050894657976021,0.1004896737060909,-0.0965276523894086,0.013583438128162801,0.1004896737060909,-0.10050894657976021,0.07313479166180147,-0.16504009359834035,0.0,2.935744194249416
27,2.825,-0.17161420201718913,0.061461404884229104,-0.08700958455647341,0.09764084877168955,-0.08815042588578509,0.025273629931434005,0.09764084877168955,-0.08700958455647342,0.061461404884229104,-0.1716142020171891,0.0,2.937304731041591
28,3.0069999999999997,-0.17695182617797364,0.04801988539063566,-0.06789513676883072,0.08363703441891449,-0.06412270662454177,0.030545033113747046,0.08363703441891449,-0.06789513676883072,0.04801988539063566,-0.17695182617797364,0.0,2.9580231491250575
29,3.0010000000000003,-0.1810145083763042,0.033196921223938886,-0.04439913701903361,0.06007809794600416,-0.02871044842837994,0.02805886005911999,0.06007809794600416,-0.04439913701903361,0.033196921223938886,-0.1810145083763042,0.0,2.9909504993410994
30,3.003,-0.1837729768938456,0.017418942075111715,-0.01803787864863645,0.029655532620063933,0.011799149465023645,0.018446528547906006,0.029655532620063933,-0.018037878648636443,0.017418942075111715,-0.18377297689384559,0.0,3.026774185884084
31,3.1489999999999996,-0.18520735690171886,0.0011398516773715893,0.009487438096886009,-0.004155032264816679,0.05021389073813487,0.004149299463185409,-0.004155032264816679,0.009487438096886023,0.0011398516773715893,-0.18520735690171883,0.0,3.055606231340363
