,raw_series,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_89,harmonic_90,harmonic_91,harmonic_92,all_8_harmonics
68,1.25,0.49039281582283184,0.1404067285503858,0.09814773594487212,-0.10256619633530752,0.1404067285503858,0.49039281582283184,0.08496338844902669,-0.08756066163468577,1.6278213375342332
67,1.15,0.43335653857515627,0.15928691494163444,0.13645459502067125,-0.08362836436469706,0.15928691494163444,0.4333565385751562,0.01877548821159368,-0.08292450378872629,1.4957470734981113
66,0.85,0.3585785937209824,0.16660466930375434,0.15933776708368988,-0.05113568107661501,0.16660466930375437,0.35857859372098244,-0.04775469412672352,-0.07790998045155482,1.2735326719634061
65,0.6,0.2691203991086758,0.161828805271256,0.16421072960820318,-0.010354702791055308,0.16182880527125604,0.2691203991086758,-0.11341429579898453,-0.07253997174302704,0.9634912763783009
64,0.25,0.16864438373655563,0.14530599666399693,0.1505226836358346,0.03210461104292285,0.14530599666399693,0.16864438373655563,-0.17700632495334917,-0.06683897978121396,0.574933478166076
63,0.15,0.06126404747938727,0.11823561288103752,0.11982081148655199,0.06936026900490147,0.11823561288103752,0.06126404747938731,-0.23737148213016293,-0.06083301688485711,0.12389797943362776
62,-0.55,-0.04862444607980728,0.08258265822048717,0.07557539619967114,0.09537371099334668,0.08258265822048717,-0.04862444607980728,-0.29340929459679543,-0.054549486885123996,-0.36775137251288875
61,-0.95,-0.1565222491033646,0.04093513474799749,0.022787569741704174,0.10592856447619092,0.04093513474799747,-0.15652224910336465,-0.34409817825573213,-0.04801706008821207,-0.87379544573879
60,-1.2,-0.25801201285804676,-0.0036838174404063635,-0.03257597315457483,0.09931405260487913,-0.0036838174404063683,-0.2580120128580467,-0.38851406139204697,-0.041265542459317364,-1.3655717296901497
59,-1.35,-0.3489387344911962,-0.0480353660647571,-0.08425740029654895,0.07660228441364147,-0.04803536606475712,-0.3489387344911962,-0.4258472307444288,-0.03432573962485143,-1.814157463193862
58,-1.9,-0.4255798633357157,-0.08890008932544513,-0.12641507508348024,0.041474482694861814,-0.08890008932544514,-0.4255798633357157,-0.45541709279144194,-0.02722931631343377,-2.192624241072166
57,-2.55,-0.4847977025717602,-0.12331166958574565,-0.15428384628684677,-0.0003756847029388151,-0.12331166958574565,-0.4847977025717601,-0.47668458115088386,-0.02000865187699779,-2.4781555991904725
56,-2.7,-0.5241678669032055,-0.1487722145491041,-0.1647136609208446,-0.042164959479805496,-0.14877221454910414,-0.5241678669032055,-0.489261983902076,-0.012696692551234266,-2.65383145255046
55,-2.7,-0.5420785371765242,-0.163433576044208,-0.15652561990558772,-0.07711995307829671,-0.163433576044208,-0.5420785371765241,-0.49292001167641,-0.005326801129474656,-2.7099154896054594
