,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_89,harmonic_92,harmonic_93,all_6_harmonics
52,53.27248665,-6.537563863736363,-3.5423634460433577,-1.7504078475603553,1.5269678123714852,-6.537563863736361,0.0,57.65614261992036
51,52.50149305,-5.544574674213838,-4.330977879053211,-1.5552036087965688,1.4166893064473336,-5.5445746742138375,0.0,58.67842983873427
50,59.8915245,-4.526286862157308,-5.040637443320426,-1.296329151559987,1.2035751481521577,-4.526286862157307,0.0,60.09663448967555
49,57.188864,-3.4873466412985485,-5.658404857862871,-0.9843828265463305,0.9030950197924785,-3.4873466412985477,0.0,61.83680622162286
48,69.89749509999999,-2.4324944575738634,-6.173018059818355,-0.632135752953796,0.5370603869336609,-2.4324944575738634,0.0,63.81050550741052
47,65.1948927,-1.3665433595565408,-6.575095514820203,-0.2540089673625363,0.13204123220289057,-1.3665433595565408,0.0,65.92590704538398
46,70.30013925,-0.2943570376201407,-6.857307244842535,0.1345169751973322,-0.28256262553344513,-0.2943570376201401,0.0,68.09891355696568
45,72.11095300000001,0.7791723679651489,-7.01450845563246,0.5175357769875486,-0.6766556261607726,0.7791723679651485,0.0,70.26299610622088
44,76.6178814,1.8491465887464973,-7.04383332766591,0.8793666032600226,-1.0216310662685917,1.849146588746497,0.0,72.37662815207122
43,81.124804,2.910683577763919,-6.944747260793227,1.2051960574738427,-1.2924476229119077,2.910683577763919,0.0,74.42746010942139
42,78.12008625,3.9589397852108013,-6.719056620140864,1.4816846434901596,-1.469447070996095,3.958939785210801,0.0,76.43275750445738
41,84.12937065,4.989132258440756,-6.37087580559882,1.6975128861114364,-1.5397812485210511,4.989132258440756,0.0,78.43605618328469
40,81.124804,5.996560465483525,-5.906552245225736,1.8438447517260153,-1.4983446881151783,5.996560465483525,0.0,80.50042367920986
39,76.71038745,6.9766277424942515,-5.334550679961685,1.9146893965623712,-1.3481452163371699,6.976627742494249,0.0,82.69910737319196
38,81.85160265,7.9248622672763,-4.66529884916882,1.9071464325370127,-1.1000856194195336,7.924862267276299,0.0,85.1046530939479
37,88.63629905,8.836937463180298,-3.9109973901931743,1.8215246694833975,-0.7721722240563623,8.836937463180298,0.0,87.7777579086113
36,86.12474305,9.708691740281031,-3.0853974175287404,1.6613294724410705,-0.3882078413367948,9.708691740281031,0.0,90.7571575612699
35,89.6169892,10.536147483757771,-2.203549836374299,1.4331192515990825,0.023936048659162535,10.536147483757771,0.0,94.05173805302462
34,100.4797622,11.315529202838405,-1.2815309606629715,1.1462369602122648,0.43434245170731306,11.315529202838404,0.0,97.63581465477095
33,105.47741070000001,12.043280757497863,-0.33614943762016103,0.812427592997233,0.813220495523501,12.043280757497863,0.0,101.44816793441186
32,114.05814270000002,12.716081584309439,0.6153601783075334,0.44535734466870563,1.1330679108186315,12.716081584309435,0.0,105.3950050629629
31,116.7737561,13.330861847414083,1.5556516159243425,0.06005411432217534,1.3706673856094975,13.33086184741408,0.0,109.35657329748389
30,119.48936940000002,13.88481644547733,2.4675831143831517,-0.3277077385207639,1.5087718799968541,13.884816445477329,0.0,113.1967409661954
29,119.48936940000002,14.37541781072333,3.3345299220057516,-0.7020531980446384,1.537356566581312,14.375417810723329,0.0,116.77452599746236
28,121.4024502,14.80042744164686,4.140687369889591,-1.0476565171528172,1.4543465197744903,14.80042744164686,0.0,119.95633093130861
27,120.0651364,15.157906116782295,4.87135899518931,-1.350368655354346,1.265767331975427,15.15790611678229,0.0,122.62756143548631
26,124.41691740000002,15.446222742926333,5.513224461509634,-1.5977965421440874,0.9853077235779729,15.44622274292633,0.0,124.7023719108656
25,121.4024502,15.664061797442237,6.054582392150189,-1.7798104507653278,0.6333258963854576,15.664061797442235,0.0,126.13048934231735
24,118.7045103,15.81042933068784,6.485563689288235,-1.8889587104133871,0.23537175795866955,15.810429330687837,0.0,126.90039174038569
23,124.10023899999999,15.884657501179822,6.798311450234283,-1.9207727785138977,-0.17966771327132366,15.88465750117982,0.0,127.0385236573249
22,126.0000533,15.886407622801213,6.987124200839849,-1.8739501833808307,-0.5816653365674178,15.88640762280121,0.0,126.60467254547845
21,124.10023899999999,15.815671710148461,7.048559834874584,-1.7504078475603553,-0.9414406221390017,15.81567171014846,0.0,125.6840563943109
20,124.10023899999999,15.672772514966999,6.981498364530474,-1.5552036087965695,-1.2328779453178085,15.672772514966997,0.0,124.37703703591195
19,116.0067331,15.458362053509068,6.787162338094889,-1.2963291515599868,-1.4348222461214102,15.458362053509067,0.0,122.78763374652146
18,113.53815120000002,15.173418631533082,6.469094552572966,-0.9843828265463302,-1.5326146478142808,15.17341863153308,0.0,121.01213902233765
17,113.3089442,14.819242380518851,6.033093467564003,-0.6321357529537962,-1.519156525892623,14.819242380518848,0.0,119.12911843603005
16,116.0067331,14.39744932546584,5.487107497814009,-0.2540089673625363,-1.3954247880956308,14.397449325465839,0.0,117.19191169253159
15,100.8017775,13.909964011341746,4.841090111519034,0.13451697519733227,-1.170400961930745,13.909964011341744,0.0,115.2244611727485
14,108.3618857,13.359010721825213,4.106818375975375,0.5175357769875485,-0.8604192371581192,13.35901072182521,0.0,113.22091039838212
13,113.4020548,12.747103330409578,3.2976782585373505,0.8793666032600226,-0.48798078799076905,12.747103330409576,0.0,111.14898149481193
12,110.881976,12.077033830174708,2.428420596902772,1.2051960574738427,-0.08012044183500999,12.077033830174706,0.0,108.9567069826528
11,113.4020548,11.35185959456294,1.514892187452159,1.48168464349016,0.33355574401605903,11.351859594562937,0.0,106.58170623549786
10,113.4020548,10.574889427285301,0.5737468939721854,1.6975128861114357,0.7230195479553789,10.5748894272853,0.0,103.96190432057891
9,105.8417953,9.749668465009094,-0.3778579566725024,1.8438447517260148,1.0600002939986457,9.749668465009094,0.0,101.04642385329427
8,103.3218679,8.87996200171239,-1.3225743571321347,1.9146893965623717,1.3200369837476045,8.879962001712387,0.0,97.80535790200075
7,108.3618857,7.9697383085112135,-2.243179878320183,1.9071464325370127,1.4842538887633947,7.969738308511211,0.0,94.23725648203802
6,90.72158455,7.023150527348605,-3.1228916388368813,1.8215246694833973,1.5407307153861478,7.023150527348604,0.0,90.37341673771041
5,88.2015,6.044517721160503,-3.945672261322518,1.661329472441071,1.485367883501039,6.044517721160501,0.0,86.27842842849824
4,85.6815666,5.038305166982185,-4.696522238075486,1.4331192515990818,1.322184109779467,5.038305166982184,0.0,82.04685094119415
3,88.2015,4.009103981913313,-5.3617533760328095,1.1462369602122646,1.0630246942111,4.009103981913313,0.0,77.79633772224405
2,86.2736409,2.9616101749036274,-5.929238336139042,0.8124275929972331,0.7267016850317644,2.961610174903627,0.0,73.65792902117971
1,90.72158455,1.9006032199411855,-6.38863171793501,0.4453573446687058,0.3376283363677828,1.9006032199411853,0.0,69.76455831448645
0,91.2475176,0.8309242484087753,-6.731558658936107,0.06005411432217519,-0.0759530184421571,0.8309242484087753,0.0,66.23902498116347
