Station_m,Zd_m,Wbase_half_m,Wbf_half_m
57,0.4248,2.0153,8.1522
58,0.3987,2.0945,8.1257
59,0.3746,2.2062,8.1373
60,0.3315,2.3834,8.2367
61,0.2885,3.3384,7.5882
62,0.2734,3.8442,7.0939
63,0.2553,4.5438,6.6226
64,0.2032,3.9585,6.5640
65,0.1881,2.8707,6.4956
66,0.1860,2.2531,6.4448
67,0.1709,2.4003,6.7253
68,0.1298,2.4415,6.7479
69,0.0777,2.4415,6.9816
70,0.0556,2.4415,6.8075
71,0.0726,2.1438,6.8607
72,0.1035,2.2027,7.2888
73,0.0934,2.2687,7.5198
74,0.1253,2.4892,8.2793
75,0.1452,2.3087,8.1138
76,0.1841,2.5041,8.0639
77,0.2410,2.3372,8.3613
78,0.2839,2.3545,8.5333
79,0.3128,2.9270,8.7257
80,0.3267,3.0029,9.1799
81,0.3397,2.8881,9.1689
82,0.2956,3.0469,9.1696
83,0.2475,3.2234,9.1339
84,0.2704,3.9212,9.0906
85,0.3053,3.9708,9.2978
86,0.2922,3.9708,9.4134
87,0.2751,4.0236,9.1664
88,0.2700,3.9440,8.9226
89,0.2699,3.6126,8.6825
90,0.2728,3.4883,8.6049
91,0.2678,3.3738,8.7996
92,0.2567,3.2770,8.9098
93,0.2376,2.9399,8.9568
94,0.2235,2.5692,9.2018
95,0.1924,2.3718,9.0907
96,0.1323,2.2741,9.2011
97,0.1012,2.4578,8.9302
98,0.0571,2.6845,8.9272
99,0.0620,2.5968,8.6089
100,0.0909,2.7830,8.1680
101,0.1339,2.7435,7.9145
102,0.1578,2.7339,7.6455
103,0.1367,2.8134,7.4672
104,0.1136,2.4374,7.3026
105,-0.0555,2.5994,7.3026
106,-0.2766,2.7863,7.1187
107,-0.3647,2.7819,7.0469
108,-0.4128,2.7111,7.0022
109,-0.3659,2.8269,6.9264
110,-0.3570,3.0814,6.8257
111,-0.4271,3.2913,7.2403
112,-0.3791,3.4236,7.1711
113,-0.2772,3.7855,7.0639
114,-0.2463,4.0019,7.0026
115,-0.2224,4.0142,7.0895
116,-0.1535,3.9923,7.2403
117,-0.0696,3.9923,7.3376
118,0.0163,3.6646,7.4795
119,0.0632,3.3396,7.4457
120,0.0761,3.0137,8.0143
121,0.1081,2.9928,8.5241
122,0.1680,2.7569,8.9661
123,0.1859,2.5329,9.1795
124,0.2028,2.0430,9.8317
125,0.1717,1.7390,10.2854
126,0.1456,1.6677,10.6297
127,0.1055,1.2600,10.7602
128,0.0904,1.1932,10.9880
129,0.0593,0.9264,10.8010
130,-0.0338,1.2988,10.7256
131,-0.2919,1.7159,10.5891
132,-0.3759,1.9297,10.3361
133,-0.3390,2.2860,10.1075
134,-0.2421,2.0724,9.8419
135,-0.1602,2.3074,9.8074
136,-0.2053,2.3076,9.8376
137,-0.1644,2.1222,9.8814
138,-0.1285,2.2660,9.6720
139,-0.1756,2.2069,9.5121
140,-0.1457,2.2554,9.3884
141,-0.0868,2.1470,9.1200
142,-0.0508,2.2039,9.1561
143,-0.0199,2.1984,9.2737
144,0.0000,2.2660,9.2536
145,0.0249,2.0387,8.9368
146,0.0458,1.8063,8.8699
147,0.0397,1.7191,8.6882
148,0.0306,1.7978,8.4919
149,0.0245,1.7775,8.8190
150,0.0124,1.8596,8.8352
151,-0.0067,1.6565,8.4899
152,-0.0197,1.3164,8.3752
153,-0.0658,1.5522,8.4367
154,-0.1049,1.5044,8.1596
155,-0.1360,1.6649,8.4288
156,-0.1551,1.5820,8.2621
157,-0.1732,1.8241,7.6056
158,-0.1503,1.8514,7.5538
159,-0.1334,1.8710,7.7908
160,-0.1275,1.8638,7.7698
161,-0.1186,1.6513,8.0629
162,-0.1166,1.8049,8.0882
163,-0.1517,1.7995,8.1007
164,-0.1998,1.9127,8.1132
165,-0.2519,2.0518,8.6303
166,-0.2570,2.0957,8.8114
167,-0.2171,2.3737,8.9665
168,-0.2672,2.8379,9.1872
169,-0.3003,2.7984,9.8439
170,-0.3684,2.4535,10.3061
171,-0.4015,2.4644,10.3287
172,-0.4345,2.7631,6.3114
