,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_174,harmonic_175,harmonic_176,harmonic_177,harmonic_178,harmonic_179,harmonic_180,harmonic_181,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_18_harmonics
10,-0.107,-0.03616334054924405,0.04928425430833381,0.03786440523840634,0.029015876543773664,0.03215761496977123,0.00038938757641779895,0.008565383102979171,0.005990392491716009,0.011607004634895442,-0.004754572996400277,-0.02388738288671619,-0.002746732092673797,-0.011032224157156675,-0.023445396687751915,-0.0032509461255047604,-0.007245842423274765,-0.008830798988155406,0.014795208230190008,-0.0026310043671970633,-0.007245842423274765,-0.0032509461255047583,-0.023445396687751915,-0.011032224157156678,-0.002746732092673797,-0.023887382886716196,-0.004754572996400277,0.011607004634895434,0.005990392491716,0.008565383102979171,0.00038938757641780015,0.03215761496977123,0.029015876543773664,0.03786440523840635,0.049284254308333796,-0.036163340549244055,0.0,0.12802916676997958
11,-0.093,-0.03293842197068285,0.040929108355030594,0.03218349508202169,0.030039727735488752,0.03226873372192681,-0.0018763772069833157,0.002132974989131198,0.0024735173360861014,0.005532307700142519,-0.006048242951087895,-0.020773970986948283,-0.0057465387990965665,-0.007678363157005749,-0.021587191956916947,-0.0006359312363226655,0.0014219584752722914,-0.004938958717250292,0.016965781562886553,0.005619766183430618,0.0014219584752722914,-0.0006359312363226638,-0.021587191956916947,-0.007678363157005753,-0.005746538799096567,-0.02077397098694829,-0.006048242951087895,0.0055323077001425145,0.002473517336086091,0.002132974989131198,-0.0018763772069833142,0.03226873372192681,0.030039727735488752,0.03218349508202169,0.04092910835503057,-0.03293842197068285,0.0,0.1170401592891782
12,-0.162,-0.029677485711293725,0.032394989824792865,0.02618608616211613,0.0305387289693363,0.031499645536458974,-0.004068512820718946,-0.004413220526606835,-0.0012154705466844145,-0.001028836403306847,-0.006686491933866245,-0.014941847259327921,-0.007853215629299816,-0.0029271404192412124,-0.015183990896897035,0.0021323764656686114,0.00970087216213748,0.0004731399430184746,0.013300425692606642,0.011723977060815079,0.009700872162137478,0.002132376465668612,-0.015183990896897029,-0.002927140419241216,-0.00785321562929982,-0.014941847259327928,-0.006686491933866245,-0.001028836403306845,-0.0012154705466844262,-0.0044132205266068335,-0.004068512820718944,0.031499645536458974,0.030538728969336296,0.02618608616211614,0.03239498982479285,-0.02967748571129374,0.0,0.11441051664297487
13,-0.213,-0.026384097556999796,0.023719216246553137,0.019931158166962882,0.030504161764947017,0.029871329134204046,-0.006100999713692012,-0.01072398482526576,-0.004819883339765057,-0.007499516529955437,-0.0066001557639979325,-0.00715426798113316,-0.008739341837966425,0.0023567836168121342,-0.0055839320414535635,0.004386669494814682,0.01532672305453989,0.005739601636287577,0.005059958300126086,0.013350027184292275,0.015326723054539889,0.004386669494814682,-0.0055839320414535635,0.0023567836168121277,-0.008739341837966428,-0.00715426798113316,-0.006600155763997932,-0.0074995165299554314,-0.0048198833397650655,-0.01072398482526576,-0.006100999713692009,0.029871329134204046,0.03050416176494701,0.019931158166962892,0.02371921624655312,-0.026384097556999792,0.0,0.10912931089791521
14,-0.247,-0.02306185877939466,0.014939724570726466,0.013480223277614133,0.02993663007572312,0.02742820074191145,-0.007894082961504246,-0.016462658791223512,-0.008088918145392745,-0.01331077589038471,-0.005798590305131894,0.001569598008550367,-0.008267195255503505,0.0072118038379992725,0.005191775350468161,0.005583544886146875,0.016760913855209364,0.00923935944748223,-0.004921045377116398,0.009876820674104876,0.016760913855209364,0.005583544886146875,0.005191775350468159,0.0072118038379992725,-0.008267195255503512,0.001569598008550367,-0.005798590305131895,-0.013310775890384709,-0.00808891814539275,-0.016462658791223512,-0.007894082961504246,0.027428200741911442,0.02993663007572311,0.01348022327761413,0.014939724570726457,-0.023061858779394658,0.0,0.09263180369609852
15,-0.202,-0.019714402197805077,0.006094905280578899,0.006896721245123313,0.028846049736648203,0.02423690253336254,-0.009377401855132883,-0.021323102500567338,-0.010795108397109347,-0.017951639532429835,-0.004368657612305846,0.01008804902612767,-0.0065101571351306245,0.01075437001965581,0.014874399401262239,0.00543449283728412,0.01361121197002227,0.009895154691562888,-0.013209296361591115,0.0026310043671970637,0.013611211970022269,0.005434492837284118,0.01487439940126224,0.010754370019655811,-0.006510157135130633,0.010088049026127671,-0.004368657612305846,-0.017951639532429824,-0.010795108397109354,-0.021323102500567334,-0.009377401855132882,0.02423690253336254,0.028846049736648203,0.006896721245123313,0.0060949052805789085,-0.019714402197805066,0.0,0.06091012833633709
16,-0.223,-0.016345388206856114,-0.002776565479587835,0.00024539551166816897,0.027251475216193324,0.02038448480459299,-0.010492750859954852,-0.02504602680807179,-0.012750151479206794,-0.021014043570034537,-0.0024653130804792997,0.017286266265361866,-0.003741307202544289,0.012339781418408566,0.021425347465087296,0.003975442716875247,0.006739020038408695,0.007505127365521979,-0.01695378270418131,-0.005619766183430618,0.006739020038408695,0.003975442716875245,0.021425347465087296,0.012339781418408568,-0.0037413072025442953,0.017286266265361876,-0.0024653130804793005,-0.021014043570034523,-0.012750151479206795,-0.02504602680807179,-0.010492750859954852,0.02038448480459299,0.027251475216193324,0.00024539551166817363,-0.0027765654795878446,-0.016345388206856108,0.0,0.014962911977631357
17,-0.308,-0.012958500773883557,-0.011635895025374886,-0.0064083434890787536,0.02518076669928581,0.01597603146874012,-0.011196363604897947,-0.027432825594798357,-0.013818011233123283,-0.022228715602920196,-0.00029481362310900525,0.0222222113282956,-0.0003909814711287701,0.011679513881167414,0.02346537415596686,0.0015581022005494599,-0.00197620652310374,0.00280495057400229,-0.014866467239262255,-0.01172397706081508,-0.0019762065231037377,0.0015581022005494581,0.023465374155966865,0.011679513881167418,-0.00039098147112877243,0.022222211328295615,-0.00029481362310900525,-0.02222871560292018,-0.013818011233123281,-0.027432825594798357,-0.011196363604897947,0.015976031468740118,0.025180766699285803,-0.006408343489078749,-0.011635895025374906,-0.012958500773883563,0.0,-0.04030280814090148
18,-0.388,-0.009557443410569525,-0.020444343762824575,-0.012999061590903988,0.022670103318021148,0.011131793640825843,-0.011460630277828763,-0.028356170770094388,-0.01392438364983938,-0.02148885141785101,0.0019076334648298401,0.024249911799127437,0.0030201107921281893,0.008893727469948608,0.02056496952003609,-0.0012348227427146099,-0.010150966215968569,-0.002758616637644547,-0.007665349619982434,-0.013350027184292273,-0.010150966215968572,-0.0012348227427146107,0.02056496952003609,0.00889372746994861,0.0030201107921281885,0.024249911799127447,0.0019076334648298404,-0.021488851417851,-0.013924383649839375,-0.02835617077009438,-0.011460630277828765,0.01113179364082584,0.022670103318021145,-0.012999061590903988,-0.020444343762824564,-0.00955744341056952,0.0,-0.0981308411092745
19,-0.435,-0.006145935123207015,-0.02916339458680813,-0.01946194438739747,0.019763351034883404,0.005983909500810107,-0.011275181036465189,-0.02776680481848031,-0.013061867104767115,-0.018859506116161575,0.003903358866871374,0.023104000345975765,0.0059618159560816935,0.004489398901091662,0.01333478863692577,-0.003730090579770066,-0.015549568224728754,-0.007473055454723201,0.0021725128808971063,-0.009876820674104876,-0.015549568224728754,-0.003730090579770064,0.01333478863692577,0.004489398901091665,0.005961815956081696,0.023104000345975775,0.003903358866871374,-0.01885950611616156,-0.01306186710476711,-0.027766804818480307,-0.011275181036465189,0.0059839095008101025,0.019763351034883404,-0.019461944387397477,-0.029163394586808156,-0.006145935123207001,0.0,-0.15212470071822265
