,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_169,harmonic_170,harmonic_171,harmonic_172,harmonic_173,harmonic_174,harmonic_175,harmonic_176,harmonic_177,harmonic_178,harmonic_179,harmonic_180,harmonic_181,harmonic_182,harmonic_183,harmonic_184,harmonic_185,harmonic_186,harmonic_187,harmonic_188,harmonic_189,harmonic_190,all_23_harmonics
10,3.199,-0.13502497075200467,-0.6091410160211536,0.10787998203022227,-0.11080256281967565,0.13281076424523156,0.06028655173746649,-0.015068130689957536,-0.05203318713994345,0.02959806928821409,0.06446264622499001,-0.01089219580500389,0.018188789030935622,0.041955817380904814,-0.060693875348616054,0.07052274161019652,-0.08331050708393292,0.07105833633833585,-0.04186349456320085,0.007110328697506543,-0.025540132428650136,-0.008130826276895937,-0.0713047433930649,0.004028672186387965,0.060761443867443324,-0.008130826276895932,-0.025540132428650136,0.00711032869750654,-0.04186349456320085,0.07105833633833582,-0.08331050708393292,0.07052274161019652,-0.06069387534861607,0.04195581738090482,0.018188789030935595,-0.010892195805003899,0.06446264622499001,0.02959806928821408,-0.052033187139943454,-0.015068130689957545,0.06028655173746649,0.13281076424523156,-0.11080256281967568,0.10787998203022228,-0.6091410160211536,-0.13502497075200467,0.0,-1.1037683720292957
11,3.53,-0.12638441032838077,-0.5642223896736913,0.10545517511565049,-0.09270259197926708,0.12786118224765627,0.04929888702506053,0.006654630488286871,-0.05538819326572008,0.02967129430546901,0.08487347247364686,-0.00603461303419268,-0.03880016348120608,0.06464548038537735,-0.07119240617443592,0.046486848156519794,-0.037979742583220163,0.04661369751640482,-0.027697939466215942,-0.01569071835804141,-0.033059821058715896,-0.05084243980294289,0.007146139917366655,-0.002305698754562227,0.054568577810730844,-0.050842439802942875,-0.033059821058715896,-0.01569071835804141,-0.027697939466215925,0.04661369751640482,-0.037979742583220136,0.046486848156519794,-0.07119240617443594,0.06464548038537736,-0.038800163481206136,-0.0060346130341926854,0.08487347247364686,0.029671294305468995,-0.0553881932657201,0.006654630488286861,0.04929888702506054,0.12786118224765627,-0.09270259197926708,0.10545517511565049,-0.5642223896736913,-0.12638441032838077,0.0,-1.057460504010381
12,3.833,-0.11760565040761993,-0.516836562375548,0.10199330145472561,-0.07298293430537735,0.11942388050759094,0.03637673062112337,0.02802238838817174,-0.05488916818853026,0.02713556879271591,0.09608694103216883,-0.0003872739937265288,-0.08975877557126367,0.0755705108824961,-0.06670199238094524,0.011245183849765309,0.01773798922380267,0.00782091999449552,-0.0040047824020593035,-0.032498444308719475,-0.026637555633007227,-0.07000394816961264,0.08197852492871129,-0.007369284771308565,0.015769544185196615,-0.07000394816961267,-0.026637555633007227,-0.03249844430871948,-0.004004782402059284,0.007820919994495539,0.017737989223802653,0.01124518384976532,-0.06670199238094524,0.07557051088249613,-0.08975877557126369,-0.0003872739937265323,0.09608694103216882,0.0271355687927159,-0.05488916818853031,0.02802238838817174,0.036376730621123364,0.11942388050759094,-0.07298293430537736,0.10199330145472564,-0.516836562375548,-0.11760565040761997,0.0,-0.9714085616361079
13,3.861,-0.10869829043480718,-0.4671907402927646,0.09752840578778293,-0.05198812892267621,0.10772900662210047,0.02202714882488757,0.04789524138495559,-0.05057083516084277,0.022213855130777952,0.09688789858734807,0.005310748008992024,-0.1267670347761756,0.07274269611300828,-0.04816805170698965,-0.026707160109800322,0.06860461089642662,-0.033379210962591575,0.021065949074753374,-0.03689286911496229,-0.008981727383896299,-0.05673978327284981,0.11530050621911822,-0.008371292504675892,-0.03245220890299044,-0.05673978327284981,-0.008981727383896297,-0.03689286911496229,0.021065949074753395,-0.03337921096259155,0.06860461089642662,-0.026707160109800315,-0.048168051706989665,0.07274269611300829,-0.12676703477617565,0.005310748008992024,0.09688789858734807,0.022213855130777938,-0.0505708351608428,0.04789524138495557,0.02202714882488759,0.10772900662210048,-0.05198812892267622,0.09752840578778293,-0.4671907402927644,-0.10869829043480717,0.0,-0.8336795386031948
14,3.885,-0.09967207047729618,-0.41550201197354786,0.09210439676906383,-0.03008499415979754,0.09309556626452015,0.006813220205401906,0.06521303625500964,-0.04273367320629466,0.015338911908972686,0.0871895489599439,0.010313746733019095,-0.1440730993145935,0.056676661405143575,-0.01949274486418826,-0.05822167642144211,0.10070876073602311,-0.06430490384450667,0.038890366142879815,-0.027195471861790763,0.0124618657870323,-0.017193876823657785,0.09023926377445367,-0.004759465802823318,-0.0612829094125407,-0.01719387682365779,0.012461865787032303,-0.027195471861790763,0.038890366142879815,-0.06430490384450666,0.10070876073602311,-0.058221676421442124,-0.019492744864188255,0.05667666140514358,-0.14407309931459353,0.010313746733019095,0.0871895489599439,0.015338911908972677,-0.0427336732062947,0.06521303625500963,0.0068132202054019195,0.09309556626452015,-0.03008499415979753,0.09210439676906386,-0.415502011973548,-0.09967207047729616,0.0,-0.6551399950011212
15,4.096,-0.09053686057408881,-0.3619963990752845,0.08577461516045187,-0.007656218550362155,0.07592272154127273,-0.008668059639948617,0.07905192396364313,-0.03192300913434925,0.00711524213878479,0.06804285881748508,0.013966974378124835,-0.13898725215520216,0.03029621509108003,0.013286590609585088,-0.07570171221799185,0.10527036989272859,-0.07543693673785212,0.043337184151015534,-0.00711032869750654,0.028650053614312616,0.030316195170380516,0.019484734288882095,0.001475538526862959,-0.053495451751634095,0.030316195170380516,0.028650053614312627,-0.007110328697506538,0.04333718415101551,-0.07543693673785211,0.10527036989272856,-0.07570171221799188,0.013286590609585088,0.030296215091080034,-0.13898725215520216,0.01396697437812484,0.06804285881748509,0.007115242138784777,-0.03192300913434929,0.07905192396364312,-0.008668059639948617,0.07592272154127273,-0.007656218550362161,0.08577461516045187,-0.36199639907528447,-0.09053686057408883,0.0,-0.4665068434433316
16,4.228,-0.0813026499430925,-0.3069078680293415,0.07860130926802376,0.01490632544802021,0.05667890289014328,-0.023809204233429186,0.0886736440598721,-0.018891072512383523,-0.001734059751054071,0.041522669128415006,0.015792329130514152,-0.1122999381558092,-0.0015977463950499703,0.04326854948762208,-0.07493366121278072,0.08104189738937485,-0.0633487642176436,0.03287677624537791,0.01569071835804141,0.03275597001983299,0.06378387291540524,-0.06113602769392027,0.0068973004018230005,-0.013743047706499218,0.06378387291540526,0.03275597001983299,0.01569071835804141,0.032876776245377895,-0.06334876421764359,0.08104189738937485,-0.07493366121278072,0.04326854948762208,-0.001597746395049961,-0.1122999381558092,0.015792329130514163,0.04152266912841502,-0.0017340597510540775,-0.018891072512383554,0.08867364405987209,-0.02380920423342918,0.05667890289014329,0.014906325448020204,0.07860130926802379,-0.30690786802934145,-0.08130264994309246,0.0,-0.30644577521847877
17,4.215,-0.07197953605805685,-0.25047730696539194,0.0706550227800745,0.03720842819499566,0.035889031519043366,-0.038016074027802715,0.09356490851310917,-0.004544653892946884,-0.01043088847743729,0.010502853948686074,0.015550924859150021,-0.06815891273619135,-0.03320093891998334,0.06414068996116822,-0.056102664018889005,0.034649516408224536,-0.03176124056471085,0.011107337990685185,0.032498444308719475,0.023048072120135394,0.06770700243551972,-0.11080013128751744,0.008517617985329616,0.03422119059201627,0.06770700243551972,0.02304807212013539,0.03249844430871948,0.011107337990685162,-0.03176124056471084,0.034649516408224515,-0.05610266401888902,0.06414068996116822,-0.03320093891998335,-0.06815891273619133,0.015550924859150031,0.010502853948686084,-0.01043088847743729,-0.00454465389294692,0.09356490851310917,-0.038016074027802715,0.035889031519043386,0.03720842819499566,0.07065502278007454,-0.25047730696539183,-0.07197953605805685,0.0,-0.20436128795396916
18,4.222,-0.06257771360713467,-0.19295147236891472,0.06201390102673712,0.05886043044364372,0.014120200923826745,-0.050731190482713746,0.09346478398989892,0.010117991649185568,-0.018210545484194898,-0.021655108424953242,0.013274354399521819,-0.013424595698164494,-0.05876199450101592,0.07150856359877272,-0.02374797954195857,-0.02121905818648366,0.009602694512041437,-0.014482828351711434,0.03689286911496229,0.003620364727143931,0.04026839885307757,-0.10435980770244356,0.005443453904886337,0.06173736299594208,0.040268398853077585,0.0036203647271439285,0.03689286911496229,-0.014482828351711458,0.009602694512041437,-0.02121905818648367,-0.023747979541958588,0.07150856359877272,-0.05876199450101595,-0.013424595698164437,0.013274354399521831,-0.02165510842495325,-0.018210545484194894,0.010117991649185554,0.09346478398989892,-0.050731190482713726,0.014120200923826732,0.05886043044364369,0.06201390102673715,-0.19295147236891472,-0.06257771360713461,0.0,-0.16521485761848212
19,4.239,-0.05310746334513978,-0.134581910077868,0.05276292248357478,0.07948403141281163,-0.00803379194397523,-0.06145561156065996,0.08837861181370728,0.02407660528075832,-0.024388977690861194,-0.05146640378712097,0.009260554965435194,0.0433961785819302,-0.0736291351079095,0.0638209284091825,0.014331214716206476,-0.07128449540682026,0.04801082903888451,-0.035091157541121167,0.027195471861790756,-0.017334119190177202,-0.005822437613255977,-0.045076160164724925,-0.0006308675656933406,0.05236382920145924,-0.0058224376132559675,-0.017334119190177202,0.027195471861790756,-0.03509115754112118,0.048010829038884505,-0.07128449540682026,0.014331214716206464,0.0638209284091825,-0.07362913510790953,0.04339617858193021,0.009260554965435196,-0.05146640378712099,-0.02438897769086118,0.02407660528075832,0.08837861181370725,-0.06145561156065996,-0.008033791943975252,0.07948403141281163,0.052762922483574795,-0.13458191007786793,-0.053107463345139744,0.0,-0.1642995079302142
