,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_147,harmonic_148,harmonic_149,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_10_harmonics
10,3.266,-0.9881251847016543,-1.5812467814930464,0.245701101818838,-0.4340956526308381,-0.04380162641817831,-0.2067672759950203,0.2915098904827035,-0.14458158778953092,0.2286511859895447,0.0036816748027051587,0.2052446428591741,-0.14458158778953095,0.2915098904827035,-0.2067672759950202,-0.04380162641817831,-0.43409565263083816,0.2457011018188381,-1.5812467814930462,-0.9881251847016543,0.0,-5.285236729802029
11,3.046,-1.0007171641162198,-1.6769603461476061,0.23276420737616313,-0.3353336586916213,0.029183170180163226,-0.10758273152581335,0.21121046225295517,-0.15982674003444788,0.21378205615845913,0.04307349293642345,0.19896665167350708,-0.15982674003444788,0.21121046225295517,-0.10758273152581328,0.029183170180163205,-0.33533365869162146,0.2327642073761632,-1.6769603461476057,-1.00071716411622,0.0,-5.158703400644463
12,3.087,-1.0116649678578105,-1.7616574718750921,0.21638920306595646,-0.2277745199896082,0.10097320436245195,-0.002065333806380095,0.11401861484025928,-0.1584103069502415,0.17077253267203066,0.07548377081268516,0.153779295140051,-0.1584103069502415,0.11401861484025928,-0.002065333806380049,0.10097320436245195,-0.2277745199896083,0.21638920306595652,-1.7616574718750915,-1.0116649678578107,0.0,-5.060347557796162
13,3.522,-1.0209506087136253,-1.8347817586896478,0.19681796054251743,-0.11423994347009973,0.16862938369429414,0.10357363970614765,0.007707663118071306,-0.14047994856357815,0.10528401173714994,0.09565930874131291,0.0785192870984004,-0.14047994856357815,0.007707663118071352,0.10357363970614775,0.16862938369429417,-0.11423994347009984,0.19681796054251754,-1.8347817586896478,-1.0209506087136253,0.0,-4.987984617174977
14,3.512,-1.0285588304001199,-1.8958528319410155,0.1743395624049201,0.0022916042580887384,0.22938185624458068,0.20311575500037066,-0.09921974043572841,-0.10790486521087697,0.02593682750219731,0.10032996723135668,-0.012095734473723176,-0.10790486521087696,-0.09921974043572836,0.20311575500037082,0.2293818562445807,0.002291604258088744,0.1743395624049202,-1.895852831941015,-1.0285588304001196,0.0,-4.93064391989973
15,3.036,-1.0344771326290412,-1.9444694980349455,0.14928603222033732,0.11876303402950514,0.28074340864899033,0.29070146938356434,-0.19821164009078535,-0.0640809375236728,-0.05682445307553518,0.08873870551240105,-0.10034534783382018,-0.06408093752367276,-0.1982116400907853,0.29070146938356445,0.28074340864899033,0.1187630340295052,0.1492860322203374,-1.9444694980349455,-1.0344771326290412,0.0,-4.871921623389048
16,3.0,-1.038695791645367,-1.980312379990288,0.12202743027559351,0.2321188338134551,0.3206112929173604,0.3611750532312962,-0.2813507544451641,-0.013576713358602778,-0.132105861359356,0.06276428601601966,-0.16897170389437774,-0.013576713358602768,-0.281350754445164,0.3611750532312963,0.32061129291736035,0.232118833813455,0.12202743027559365,-1.9803123799902873,-1.0386957916453667,0.0,-4.794319337641146
17,3.914,-1.0412078762034114,-2.0031460155190173,0.09296638749654204,0.339385227030836,0.34735331318346635,0.4103880818085231,-0.3419876933351748,0.038342853245815316,-0.18999801345567463,0.026616756337974282,-0.204554423220005,0.03834285324581535,-0.3419876933351748,0.4103880818085231,0.34735331318346635,0.339385227030836,0.09296638749654212,-2.0031460155190164,-1.0412078762034114,0.0,-4.6837471249225455
18,3.354,-1.0420092589548409,-2.0128204038463,0.06253215827356227,0.437748186622753,0.35987464799555985,0.43544363212808324,-0.37527276996606923,0.08626526192171963,-0.22288049454193973,-0.013844933702472159,-0.20013504812614216,0.08626526192171965,-0.37527276996606923,0.43544363212808335,0.35987464799555985,0.4377481866227532,0.06253215827356239,-2.0128204038462996,-1.0420092589548409,0.0,-4.533337568021618
19,2.91,-1.0410986232298995,-2.0092719911090966,0.031174280037609674,0.5246272582494801,0.3576626724352394,0.4348668102081358,-0.378543874416833,0.12519470720402584,-0.22642494339476593,-0.05206257629247625,-0.15657781932192172,0.12519470720402587,-0.378543874416833,0.4348668102081358,0.3576626724352394,0.5246272582494802,0.03117428003760978,-2.009271991109096,-1.0410986232298995,0.0,-4.34584286025184
