,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_150,harmonic_151,harmonic_152,harmonic_153,harmonic_154,harmonic_155,all_7_harmonics
10,0.188,0.199611572326163,0.3352058022386465,-0.2888242963650755,0.010236391607521414,-0.06904074537333811,-0.06935722616234083,-0.008100123877738603,-0.03579976436702024,-0.06904074537333811,0.010236391607521421,-0.2888242963650755,0.33520580223864654,0.199611572326163,0.0,0.261120334460735
11,0.24,0.20530776150009442,0.31208123185077513,-0.27234018449178504,-0.00873884647959487,-0.07562986403363042,-0.0437433823625997,0.00871836341649745,-0.019650913607331545,-0.07562986403363041,-0.008738846479594858,-0.272340184491785,0.3120812318507752,0.20530776150009442,0.0,0.2666842641382847
12,0.351,0.2106666305609752,0.2869065093296895,-0.2518333945350319,-0.027484829627493896,-0.07912268717425416,-0.015554586084500908,0.024839563995625754,-0.0014534984222330778,-0.07912268717425418,-0.02748482962749391,-0.25183339453503195,0.28690650932968953,0.2106666305609752,0.0,0.2860959365966611
13,0.368,0.2156793749010095,0.25984701472972216,-0.22760682786309983,-0.04550977562702778,-0.07937621820544298,0.013549830290281532,0.03897411901345024,0.01689544076931489,-0.07937621820544298,-0.04550977562702777,-0.22760682786309985,0.25984701472972216,0.2156793749010095,0.0,0.3154865259433688
14,0.566,0.22033775859440902,0.23108050971968247,-0.2000183298632591,-0.062340817960954635,-0.07638007753699132,0.041856636439177156,0.049991559714878765,0.033483067504696776,-0.07638007753699132,-0.06234081796095465,-0.2000183298632591,0.23108050971968247,0.22033775859440902,0.0,0.3506893495645256
15,0.481,0.22463412792899748,0.20079596981489278,-0.1694754042847883,-0.07753641098635268,-0.07025692751989716,0.06769955333411962,0.05701072129080781,0.046580158262243786,-0.07025692751989716,-0.07753641098635271,-0.1694754042847883,0.2007959698148928,0.22463412792899748,0.0,0.38761314279287545
16,0.523,0.22856142398123938,0.16919234294221489,-0.1364291940890488,-0.09069791344507167,-0.06125745063529995,0.08955733869084696,0.05947021763190995,0.05482137020149561,-0.06125745063529996,-0.09069791344507168,-0.13642919408904877,0.1691923429422149,0.22856142398123938,0.0,0.4225873440323203
17,0.513,0.23211319421403329,0.13647724249341253,-0.10136781771417704,-0.1014800464203544,-0.049750086524248734,0.10614333483599568,0.05717334047511122,0.057347575144578895,-0.049750086524248734,-0.10148004642035441,-0.10136781771417708,0.1364772424934126,0.23211319421403329,0.0,0.4526492225530171
18,0.496,0.23528360307821278,0.10286558345256112,-0.06480915918298968,-0.10959995138554611,-0.036205948025507806,0.11648120776032149,0.050303791950175966,0.053895421794902296,-0.03620594802550779,-0.10959995138554611,-0.06480915918298967,0.10286558345256115,0.23528360307821278,0.0,0.4757486773788604
19,0.435,0.23806744160033885,0.06857817055717982,-0.027293218549862164,-0.11484461071599895,-0.021179533760584304,0.11996241898166535,0.039410992251743174,0.044824789529298914,-0.021179533760584304,-0.11484461071599898,-0.027293218549862153,0.0685781705571798,0.23806744160033885,0.0,0.4908546990248539
20,0.407,0.24046013594102944,0.03384024776786502,0.010625864323521094,-0.11707643599442867,-0.00528602689501296,0.11638204713871643,0.02536613751573836,0.031081271766303542,-0.00528602689501296,-0.1170764359944287,0.010625864323521094,0.033840247767865,0.24046013594102944,0.0,0.4979570267067061
21,0.474,0.24245775490976543,-0.001119981424620391,0.04838799484845883,-0.11623687750609374,0.010823890532722027,0.10595085067886731,0.009292522350929767,0.014097599936721291,0.01082389053272201,-0.11623687750609378,0.04838799484845883,-0.0011199814246204084,0.24245775490976543,0.0,0.49796653568698257
22,0.54,0.24405701642382657,-0.0360728531342696,0.08543539674551218,-0.11234796023228455,0.026490676610294216,0.0892828615705167,-0.007524300234308663,-0.004355715609744007,0.026490676610294216,-0.11234796023228458,0.08543539674551216,-0.03607285313426964,0.24405701642382657,0.0,0.4925273985526216
23,0.555,0.24525529290074458,-0.07078875180851463,0.12122085083753828,-0.10551170604686166,0.041072931274918636,0.06735924033545546,-0.023739336183314728,-0.02235495740556218,0.041072931274918636,-0.10551170604686168,0.12122085083753834,-0.07078875180851465,0.24525529290074458,0.0,0.4837621810622289
24,0.442,0.2460506155754142,-0.10503961863939269,0.1552157779060448,-0.09590745727394212,0.05397365530728338,0.041470520073429946,-0.03805572178301565,-0.03802374417075522,0.05397365530728338,-0.09590745727394213,0.15521577790604482,-0.10503961863939276,0.2460506155754142,0.0,0.4739769998704741
25,0.325,0.24644167773476933,-0.1386004497480055,0.18691804622073793,-0.083787171820534,0.06466469154973269,0.013140639282099806,-0.04932844563504037,-0.04972863942507063,0.06466469154973269,-0.08378717182053402,0.18691804622073793,-0.13860044974800556,0.24644167773476933,0.0,0.4653571420953896
26,0.243,0.24642783686470904,-0.1712507743002638,0.21585938841893088,-0.06946881331163113,0.07270834772235732,-0.015962764722551346,-0.05665592561788415,-0.05624943364032685,0.07270834772235732,-0.06946881331163116,0.21585938841893085,-0.17125077430026384,0.24642783686470904,0.0,0.4596838468074421
27,0.258,0.24600911570574652,-0.20277610284374528,0.24161231818168813,-0.05332800963099529,0.07777531559636051,-0.0441265212110809,-0.05945211659862827,-0.05690634839391621,0.07777531559636051,-0.05332800963099529,0.24161231818168813,-0.2027761028437454,0.24600911570574652,0.0,0.45810028781448364
28,0.257,0.24518620221564646,-0.23296933635112163,0.26379644454197343,-0.035788198697505436,0.07965815291163715,-0.06969277176804074,-0.057493381785522615,-0.051630901770869195,0.07965815291163715,-0.03578819869750544,0.2637964445419735,-0.23296933635112166,0.24518620221564646,0.0,0.4609494739168274
29,0.301,0.24396044843911224,-0.2616321267137396,0.2820840905575215,-0.017309519992822937,0.07827977608727581,-0.09115656006224779,-0.05093637899361231,-0.040973047452529714,0.07827977608727581,-0.017309519992822937,0.28208409055752154,-0.2616321267137397,0.24396044843911224,0.0,0.46769935024630416
30,0.333,0.24233386828638012,-0.2885761797478788,0.29620513335622606,0.0016232567399117033,0.07369661603241824,-0.10725442104189191,-0.04030553129627737,-0.026043843257583806,0.07369661603241824,0.0016232567399116977,0.29620513335622606,-0.28857617974787886,0.24233386828638012,0.0,0.47696159373836156
