,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_9,harmonic_10,harmonic_13,harmonic_15,harmonic_18,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_29,harmonic_32,harmonic_38,harmonic_42,harmonic_53,harmonic_57,harmonic_63,harmonic_66,harmonic_71,harmonic_72,harmonic_73,harmonic_77,harmonic_80,harmonic_82,harmonic_85,harmonic_86,harmonic_88,harmonic_89,harmonic_90,harmonic_91,harmonic_92,harmonic_93,all_38_harmonics
82,2.4873967219999997,-0.16717118290185948,2.2919243818784737e-05,-0.05293394896355054,0.030807279650495737,0.1448764662146229,-0.1507941837093059,0.02673542869413987,-0.045207014697294816,-0.021703591345463326,0.015806191743423455,-0.04363126617286786,0.01610934425769897,-0.031309081501705305,0.05574629016547196,0.058763487356789164,0.014300027874730278,0.007540283846244112,-0.04133111491387355,-0.0020579876612162773,0.016364401152750233,0.03700716749169075,-0.013416647640948012,0.034784196040776004,-0.012027442561039187,0.05574629016547196,-0.031309081501705305,0.02641817961004953,-0.00458727391488956,0.015806191743423455,-0.033326290120983905,0.04886081989861718,0.026735428694139866,0.1448764662146229,0.03080727965049572,-0.05293394896355056,2.2919243818799062e-05,-0.16717118290185948,0.0,2.4267205022240574
81,2.4873967219999997,-0.16078923349209306,-0.011473530482950413,0.007026710746191339,0.004113027987989883,0.17674987031148842,-0.18567248490080587,0.004428212491500227,-0.08751791279857517,-0.037044910323104537,-0.0016219608376004061,-0.033524326801246014,-0.029700196909132885,0.03804039444433423,-0.014795276844161128,0.056058542409996415,0.041348177566060657,0.012681229579012453,0.0070610897904938965,0.006870701590789041,-0.017030323380962355,-0.03538964062689373,-0.006726626621876195,0.003781040441057498,0.02031548195459333,-0.014795276844161123,0.03804039444433423,0.05058590910840039,-0.04049515734876991,-0.0016219608376003953,0.0011627112995019559,0.06636339446022836,0.004428212491500224,0.17674987031148834,0.004113027987989854,0.00702671074619131,-0.011473530482950408,-0.1607892334920931,0.0,2.750184241871421
80,2.211019261,-0.15367363968854358,-0.022760814723634518,0.06669969609238073,-0.022879783079489454,0.1886449462412374,-0.19045617709576382,-0.018851098637573165,-0.09845599185437896,-0.03611053246196775,-0.017877320711589,0.008164941476270353,-0.03673941305183367,0.042829826273911256,-0.0582422849138859,-0.05686988809350167,-0.01848852952816324,-0.017147047862464536,0.033460478760780885,-0.009479147169260176,0.01613419902117734,0.02705618678386299,0.023624412816288277,-0.038114492234865245,0.001843188569088862,-0.0582422849138859,0.042829826273911256,-0.004381585839156256,-0.03351587341345693,-0.017877320711588995,0.03503855853852931,0.06494671241693507,-0.018851098637573165,0.18864494624123737,-0.022879783079489464,0.06669969609238073,-0.0227608147236345,-0.15367363968854356,0.0,2.364341079469003
79,1.9346418,-0.14585686831370304,-0.03363316331025496,0.1236419880436665,-0.048211780157353,0.17921717403291604,-0.1643698985261505,-0.03799215818579734,-0.07410024456517614,-0.019310977066002887,-0.02120610993982726,0.04216224717599184,0.004180614630458119,-0.025069143637203223,0.004969679201623074,-0.0579795480866958,-0.03947532025875772,0.00030864978269860084,-0.04435777651283768,0.00904647914025833,-0.01375822193239073,-0.013588253711003863,-0.029123803614536613,0.029789758498589534,-0.021239481719138236,0.004969679201623065,-0.02506914363720322,-0.0524946467175808,0.008959034362203643,-0.021206109939827255,0.05043687082164787,0.0450146496000239,-0.03799215818579735,0.179217174032916,-0.04821178015735302,0.12364198804366648,-0.03363316331025494,-0.14585686831370304,0.0,2.106356783077088
78,3.040151355,-0.13737458550249898,-0.04389237046121847,0.17552236247712782,-0.07004414619975484,0.1495321902651014,-0.11164182739589752,-0.04879306145480696,-0.023181551592850493,0.005972864177749069,-0.009201377849010957,0.03643968122494823,0.03964331189438969,-0.05042215568376062,0.05908068039098362,0.054911399256247655,0.02248731384965939,0.01691322782099549,0.015982869199863678,-0.005711506682185439,0.010120320266738932,-0.0024583356598077595,0.020571432296190354,0.011876021396678912,0.008804271184440743,0.0590806803909836,-0.05042215568376062,-0.018486505794483726,0.04194570622735841,-0.009201377849010962,0.03923736965165705,0.012249552642987438,-0.04879306145480696,0.14953219026510137,-0.07004414619975487,0.1755223624771278,-0.043892370461218466,-0.137374585502499,0.0,2.587998064800155
77,3.044357777,-0.1282654939659014,-0.05335140812497916,0.22021683076777357,-0.0867920978709588,0.10294533741303132,-0.04081836025188446,-0.04888276069365073,0.03604710444943214,0.02863252504777744,0.009456602942902818,-0.0036116873444223705,0.023356046291716046,0.009798513692839968,0.0049973575454326895,0.05983439804724658,0.03719739274695668,-0.013121396954927526,0.026542488520897373,0.0005441604482634046,-0.005554167775282524,0.01803840424976946,-0.0020936790857818744,-0.04025001923233098,0.016825855984993122,0.004997357545432699,0.009798513692839968,0.044441423485725266,0.030508979316748702,0.00945660294290281,0.007346096343860731,-0.0240077169437486,-0.04888276069365074,0.10294533741303132,-0.08679209787095882,0.22021683076777357,-0.053351408124979134,-0.1282654939659014,0.0,2.9682840460475446
76,2.494848884,-0.11857115639932926,-0.061837835550734244,0.25589559613240775,-0.09723992292682739,0.04472240397720992,0.0366211253739016,-0.03824156484749507,0.08235384257979861,0.03871247406692587,0.021276789191532454,-0.04026058646845381,-0.02341995676879016,0.053389689986470465,-0.058237615518272605,-0.05289025551631851,-0.026255347900860416,-0.006973011588512581,-0.0455684255295488,0.004797764122117942,0.0004785787553194299,-0.030195307088416605,-0.01739424027089232,0.02357572474332282,-0.01723915800455889,-0.0582376155182726,0.053389689986470465,0.03784639500506494,-0.013238862993450996,0.021276789191532443,-0.028419130620844734,-0.05342072907423139,-0.038241564847495066,0.0447224039772099,-0.09723992292682739,0.25589559613240775,-0.061837835550734244,-0.11857115639932925,0.0,2.856320088211078
75,2.43548913,-0.10833580584160415,-0.06919694292878116,0.2810979657249253,-0.100629227201054,-0.018555576240283613,0.10812489871722593,-0.01920546219899151,0.09913894201544347,0.03178408141924696,0.017712348009901298,-0.03898111520851517,-0.039623794306114894,0.006370850499779179,-0.014822167450975232,-0.061620975874195724,-0.03453776964945704,0.018403856072620385,0.024250308066283647,-0.008600463116960801,0.004640906219823838,0.03662201674343919,0.028489721273001086,0.01948479664094702,-0.008183778769291366,-0.014822167450975239,0.006370850499779179,-0.027954507521989354,-0.04296583539844462,0.017712348009901298,-0.04919756870592873,-0.0676042537802551,-0.01920546219899151,-0.018555576240283585,-0.10062922720105402,0.28109796572492524,-0.06919694292878115,-0.10833580584160417,0.0,2.4958008353043803
74,2.807421375,-0.0976061438497396,-0.07529457179114277,0.2947921515730558,-0.09671398546105042,-0.07973618919631871,0.1621033152397804,0.004046683017317941,0.08038539583268946,0.010891339311230428,0.0013406231448890534,-0.0009786275869732451,-0.004103147031522612,-0.051460242522479493,0.055737084267156047,0.0508087630353862,0.02975396655343626,-0.0069689725997365785,0.018537845682358358,0.009643949183833019,-0.009334720374529586,-0.03609893019008535,-0.025839374587394017,-0.04073770571324863,0.021341727748494962,0.05573708426715604,-0.051460242522479493,-0.05002413653793703,-0.027189021807005283,0.0013406231448890625,-0.04403173757942663,-0.06251477059910318,0.004046683017317945,-0.07973618919631868,-0.09671398546105042,0.2947921515730558,-0.07529457179114275,-0.0976061438497396,0.0,3.106533379493253
73,3.51429828,-0.08643112741044764,-0.08001956075581393,0.29641751209917827,-0.08577840006275395,-0.1319040897144211,0.18980731694104,0.026410487839490692,0.03281584619745101,-0.014786517276798595,-0.016000467324248775,0.03794579766247124,0.03677370527163002,-0.021955870809830347,0.0242251324031065,0.06333724304983314,0.03152374229828423,-0.013124456722262662,-0.044913497851017545,-0.007593449624251298,0.013172340093888254,0.0287253140790865,0.010721949433972698,0.016396498047034427,-0.002514937436581563,0.024225132403106506,-0.02195587080983035,0.00616263711665632,0.01738284297534154,-0.016000467324248764,-0.015645831078002794,-0.039603218547288155,0.0264104878394907,-0.1319040897144211,-0.08577840006275395,0.29641751209917827,-0.08001956075581393,-0.08643112741044762,0.0,3.2558601637167275
