,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25,harmonic_26,all_26_harmonics
82,2.4873967219999997,-0.16717118290185948,2.2919243818784737e-05,-0.05293394896355054,0.030807279650495737,0.1448764662146229,-0.1507941837093059,0.02673542869413987,0.04886081989861718,-0.045207014697294816,-0.021703591345463326,-0.03332629012098391,-0.012541490851315186,0.015806191743423455,0.07155409547104838,-0.04363126617286786,-0.004587273914889555,0.03692986868593492,0.01610934425769897,-0.0193215264229431,0.02641817961004953,-0.031309081501705305,0.05574629016547196,0.058763487356789164,0.014300027874730278,-0.010970131824135618,0.020526803904661085,2.6476837987416024
81,2.4873967219999997,-0.16078923349209306,-0.011473530482950413,0.007026710746191339,0.004113027987989883,0.17674987031148842,-0.18567248490080587,0.004428212491500227,0.06636339446022836,-0.08751791279857517,-0.037044910323104537,0.0011627112995019654,0.04489264534317655,-0.0016219608376004061,0.0599806437046982,-0.033524326801246014,-0.04049515734876989,-0.0208320332604745,-0.029700196909132885,-0.025036724428719567,0.0505859091084004,0.03804039444433423,-0.014795276844161128,0.056058542409996415,0.041348177566060657,-0.0016071373252931412,-0.01959231704753386,2.594889736421716
80,2.211019261,-0.15367363968854358,-0.022760814723634518,0.06669969609238073,-0.022879783079489454,0.1886449462412374,-0.19045617709576382,-0.018851098637573165,0.06494671241693505,-0.09845599185437896,-0.03611053246196775,0.03503855853852933,0.07440058595380682,-0.017877320711589,-0.0013708644019771437,0.008164941476270353,-0.03351587341345692,-0.05400464995989686,-0.03673941305183367,0.005140449967941605,-0.004381585839156252,0.042829826273911256,-0.0582422849138859,-0.05686988809350167,-0.01848852952816324,0.011349277109939958,-0.01328838099180254,2.366786928917216
79,1.9346418,-0.14585686831370304,-0.03363316331025496,0.1236419880436665,-0.048211780157353,0.17921717403291604,-0.1643698985261505,-0.03799215818579734,0.04501464960002388,-0.07410024456517614,-0.019310977066002887,0.05043687082164788,0.057626439620863626,-0.02120610993982726,-0.06158468939587154,0.04216224717599184,0.00895903436220364,-0.023432373113707397,0.004180614630458119,0.02794833190421144,-0.0524946467175808,-0.025069143637203223,0.004969679201623074,-0.0579795480866958,-0.03947532025875772,-0.0010703096145543763,0.0245017374704728,2.4326201808060453
78,3.040151355,-0.13737458550249898,-0.04389237046121847,0.17552236247712782,-0.07004414619975484,0.1495321902651014,-0.11164182739589752,-0.04879306145480696,0.012249552642987419,-0.023181551592850493,0.005972864177749069,0.03923736965165707,0.005004835171968156,-0.009201377849010957,-0.07068925731773827,0.03643968122494823,0.04194570622735839,0.03479852443946808,0.03964331189438969,0.0106897930277732,-0.01848650579448373,-0.05042215568376062,0.05908068039098362,0.054911399256247655,0.02248731384965939,-0.011096776693004316,0.004236162334824491,2.7869423510534705
77,3.044357777,-0.1282654939659014,-0.05335140812497916,0.22021683076777357,-0.0867920978709588,0.10294533741303132,-0.04081836025188446,-0.04888276069365073,-0.024007716943748605,0.03604710444943214,0.02863252504777744,0.007346096343860725,-0.05073010788303856,0.009456602942902818,-0.021128669014506052,-0.0036116873444223705,0.0305089793167487,0.05195465829015698,0.023356046291716046,-0.021893515402692496,0.044441423485725266,0.009798513692839968,0.0049973575454326895,0.05983439804724658,0.03719739274695668,0.0036881883138799973,-0.026066796591994186,2.885190019500774
76,2.494848884,-0.11857115639932926,-0.061837835550734244,0.25589559613240775,-0.09723992292682739,0.04472240397720992,0.0366211253739016,-0.03824156484749507,-0.05342072907423139,0.08235384257979861,0.03871247406692587,-0.028419130620844738,-0.07490756743707672,0.021276789191532454,0.045966644020561324,-0.04026058646845381,-0.013238862993450985,0.007785625430867634,-0.02341995676879016,-0.023090521273125917,0.03784639500506495,0.053389689986470465,-0.058237615518272605,-0.05289025551631851,-0.026255347900860416,0.010226683521525518,0.005394270720058307,2.61901659829153
75,2.43548913,-0.10833580584160415,-0.06919694292878116,0.2810979657249253,-0.100629227201054,-0.018555576240283613,0.10812489871722593,-0.01920546219899151,-0.06760425378025509,0.09913894201544347,0.03178408141924696,-0.04919756870592876,-0.05248756402211535,0.017712348009901298,0.07491414712053884,-0.03898111520851517,-0.042965835398444605,-0.0455732432045115,-0.039623794306114894,0.008814789849264208,-0.027954507521989358,0.006370850499779179,-0.014822167450975232,-0.061620975874195724,-0.03453776964945704,-0.006100800344959603,0.024073871881583442,2.524815795779224
74,2.807421375,-0.0976061438497396,-0.07529457179114277,0.2947921515730558,-0.09671398546105042,-0.07973618919631871,0.1621033152397804,0.004046683017317941,-0.06251477059910315,0.08038539583268946,0.010891339311230428,-0.044031737579426654,0.00258317688886736,0.0013406231448890534,0.04169024948642426,-0.0009786275869732451,-0.027189021807005276,-0.045139308095081196,-0.004103147031522612,0.028083315324243716,-0.05002413653793704,-0.051460242522479493,0.055737084267156047,0.0508087630353862,0.02975396655343626,-0.00878742276015715,-0.01428841353155435,2.812887141157615
73,3.51429828,-0.08643112741044764,-0.08001956075581393,0.29641751209917827,-0.08577840006275395,-0.1319040897144211,0.18980731694104,0.026410487839490692,-0.03960321854728814,0.03281584619745101,-0.014786517276798595,-0.015645831078002798,0.056047010867216286,-0.016000467324248775,-0.026132469694096733,0.03794579766247124,0.017382842975341532,0.008575231395272687,0.03677370527163002,0.007091909242178505,0.006162637116656315,-0.021955870809830347,0.0242251324031065,0.06333724304983314,0.03152374229828423,0.00817387142696913,-0.01879498732473009,3.018683116413493
